날짜-시간,이벤트유형,장비/상세,원본메시지
2025-01-01-00-43,OPEN,4ABLD111,4ABLD111호기 AI Open 하겠습니다
2025-01-01-02-37,CLOSE,4ABLD131,4ABLD131호기 작업위해 AI Close 하겠습니다
2025-01-01-03-20,ERROR,4ABLD111 Error 발생으로 -> CLOSE,4ABLD111호기 Error 발생으로 AI Close 하겠습니다
2025-01-01-03-49,OPEN,4ABLD131,4ABLD131호기 AI Open 하겠습니다
2025-01-01-03-50,OPEN,4ABLD111,"4ABLD111호기 조치완료 되어 상단 Port(AI75, AI43) Close 후 AI Open 하겠습니다"
2025-01-01-06-19,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 AI Close 하겠습니다
2025-01-01-06-50,OPEN,4ABLD131,"4ABLD131 하단 PORT (AI47, AI77) CLOSE 후 AI43, AI75 OPEN 하였습니다."
2025-01-01-08-58,ERROR,4ABLD122 Error 발생되어 -> CLOSE,4ABLD122호기 Error 발생되어 AI Close 했습니다.
2025-01-01-09-06,OPEN,4ABLD122,4ABLD122호기 AI Open 하였습니다.
2025-01-01-13-19,ERROR,4ABLD121 Error 발생으로 -> CLOSE,4ABLD121호기 Error 발생으로 AI Close 했습니다.
2025-01-01-13-39,OPEN,4ABLD121,4ABLD121호기 AI Open 하였습니다.
2025-01-02-07-22,ERROR,4ABLD122 Error 발생으로 -> CLOSE,"4ABLD122 Error 발생으로 인하여 4F, 7F AI Close 하겠습니다."
2025-01-02-07-24,ERROR,-> OPEN,"Error 조치 되어 4F, 7F AI Open 하였습니다."
2025-01-02-10-35,OPEN,,작업 완료되어 포트 오픈했습니다.
2025-01-02-12-32,OPEN,4ABLD131,"안녕하세요 4ABLD131, 132호기 Conv 확인 작업 11:30분 부터 진행예정입니다. (이영재,이천AMHS운영/TL,2025-01-02 10:19:29) ┖ 작업 완료되어 AI Open 하였습니다."
2025-01-02-15-32,CLOSE,4ABLD132,4ABLD132호기 점검작업 진행으로 4F/7F AI Port Close 하겠습니다.
2025-01-02-15-55,OPEN,4ABLD132,"4ABLD132호기 1차 점검 후, Test 진행을 위하여 4F/7F AI Port Open 하였습니다."
2025-01-02-16-04,CLOSE,4ABLD132,4ABLD132호기 점검 진행을 위하여 4F/7F AI Port Close 하겠습니다
2025-01-02-16-09,OPEN,4ABLD132,"4ABLD132호기 2차 점검 후, 반송 Test 진행을 위하여 4F/7F AI Port Open 하였습니다."
2025-01-02-16-15,ERROR,4ABLD132 Error 발생으로 -> CLOSE,4ABLD132호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-01-02-16-34,ERROR,4ABLD132 -> OPEN,4ABLD132호기 Error 조치 & 작업 완료되어 AI Port Open 하였습니다. 수고하세요.
2025-01-03-01-06,ERROR,4ABLD111 Error 발생으로 -> CLOSE,"안녕하세요 4ABLD111 Error 발생으로 4F,7F AI Close 하겠습니다"
2025-01-03-03-02,OPEN,4ABLD111,"4ABLD111 4F,7F AI Open 하였습니다."
2025-01-04-00-12,ERROR,4ABLD121 -> CLOSE,"4ABLD121 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-01-04-00-21,ERROR,4ABLD121 -> OPEN,"4ABLD121 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-01-04-05-26,ERROR,4ABLD111 -> CLOSE,"4ABLD111 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-01-04-05-43,ERROR,4ABLD111 -> OPEN,"4ABLD111 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-01-04-06-37,ERROR,4ABLD122 -> CLOSE,"4ABLD122 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-01-04-06-42,ERROR,4ABLD122 -> OPEN,"4ABLD122 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-01-04-06-56,ERROR,4ABLD122 Error 발생하여 -> CLOSE,4ABLD122 Error 발생하여 AI Close 하겠습니다.
2025-01-04-07-11,ERROR,4ABLD122 -> OPEN,"4ABLD122호기 Error 조치되어 4F, 7F AI Open 하였습니다"
2025-01-04-12-25,ERROR,4ABLD122 Error 발생하여 -> CLOSE,"4ABLD122 Error 발생하여 4F, 7F AI Close 하겠습니다."
2025-01-04-12-35,ERROR,4ABLD122 -> OPEN,"4ABLD122호기 Error 조치되어 4F, 7F AI Open 하였습니다"
2025-01-04-19-06,ERROR,4ABLD131 Error 발생으로 -> CLOSE,"안녕하세요. 4ABLD131호기 Error 발생으로 4F, 7F AI Port Close 하겠습니다."
2025-01-04-19-14,ERROR,4ABLD131 -> OPEN,"4ABLD131호기 Error 조치되어 4F, 7F AI Open 하였습니다. 수고하세요"
2025-01-04-22-13,ERROR,4ABLD112 Error발생하여 -> CLOSE,"4ABLD112호기 Error발생하여 4F, 7F AI Close하겠습니다"
