"_id","_table","_time","AFFECT_ADDR_LST","AFFECT_PORT_LST","ENV","EVENT_DT","FAB_ID","FROM_ADDR","INIT","MCP_NM","STATE","TO_ADDR"
"10","ATLAS_OHT_RAIL_CUT","2026-04-15 04:25:00.034+0900","15210:15211,15217:15218,15200:15201,15201:15202,15208:15218,15211:15212,15198:15199,1470:15197,15212:15213,15206:15207,15202:15203,15215:15216,15216:15217,15197:15198,15204:15205,15205:15206,15209:15210,15213:15214,15214:15215,15204:15209,15207:15208,15203:15204,15199:15200","","REAL","2026-04-14 09:00:28","M14A","1470","false","A","ABNORMAL","15197"
"9","ATLAS_OHT_RAIL_CUT","2026-04-15 04:25:00.034+0900","15065:15066,15074:15075,15075:15076,15063:15064,15073:15078,15067:15068,15064:15065,15069:15070,15060:15061,15070:15071,15061:15062,15068:15069,15077:15078,1302:15060,15071:15072,15066:15074,15076:15077,15072:15073,15066:15067,15062:15063","","REAL","2026-04-14 09:00:28","M14A","1302","false","A","ABNORMAL","15060"
"8","ATLAS_OHT_RAIL_CUT","2026-04-15 04:25:00.034+0900","1952:1953,1953:1866","","REAL","2026-04-14 09:00:28","M14A","1952","false","A","ABNORMAL","1953"
"7","ATLAS_OHT_RAIL_CUT","2026-04-15 04:25:00.034+0900","15126:15132,15127:15128,15130:15131,15131:15136,15126:15127,15122:15123,15124:15125,15129:15130,15123:15124,15133:15134,15132:15133,15125:15126,15121:15122,15134:15135,15135:15136,1293:15121,15128:15129","","REAL","2026-04-14 09:00:28","M14A","1293","false","A","ABNORMAL","15121"
"6","ATLAS_OHT_RAIL_CUT","2026-04-15 04:25:00.034+0900","9020:9447","","REAL","2026-04-14 09:00:28","M14A","9020","false","A","ABNORMAL","9447"
"3","ATLAS_OHT_RAIL_CUT","2026-04-15 04:25:00.034+0900","15183:15184,15192:15193,15182:15183,15189:15190,15184:15185,15190:15191,15183:15189,15178:15180,15188:15193,15187:15188,15180:15181,1465:15178,15186:15187,15181:15182,15191:15192,15185:15186","","REAL","2026-04-14 09:00:28","M14A","1465","false","A","ABNORMAL","15178"
"2","ATLAS_OHT_RAIL_CUT","2026-04-15 04:25:00.034+0900","1367:1370","","REAL","2026-04-14 09:00:28","M14A","1367","false","A","ABNORMAL","1370"
"1","ATLAS_OHT_RAIL_CUT","2026-04-15 04:25:00.034+0900","13181:13182,13187:13170,13180:13181,13182:13183,13178:13179,13179:13180,13184:13185,13186:13187,13188:12656,13187:13188,13183:13184,13185:13186","","REAL","2026-04-14 09:00:28","M14A","13178","false","A","ABNORMAL","13179"
"19","ATLAS_OHT_RAIL_CUT","2026-04-14 21:00:00.040+0900","15210:15211,15217:15218,15200:15201,15201:15202,15208:15218,15211:15212,15198:15199,1470:15197,15212:15213,15206:15207,15202:15203,15215:15216,15216:15217,15197:15198,15204:15205,15205:15206,15209:15210,15213:15214,15214:15215,15204:15209,15207:15208,15203:15204,15199:15200","","REAL","2026-04-14 09:00:28","M14A","1470","false","A","ABNORMAL","15197"
"18","ATLAS_OHT_RAIL_CUT","2026-04-14 21:00:00.040+0900","15065:15066,15074:15075,15075:15076,15063:15064,15073:15078,15067:15068,15064:15065,15069:15070,15060:15061,15070:15071,15061:15062,15068:15069,15077:15078,1302:15060,15071:15072,15066:15074,15076:15077,15072:15073,15066:15067,15062:15063","","REAL","2026-04-14 09:00:28","M14A","1302","false","A","ABNORMAL","15060"
"17","ATLAS_OHT_RAIL_CUT","2026-04-14 21:00:00.040+0900","1952:1953,1953:1866","","REAL","2026-04-14 09:00:28","M14A","1952","false","A","ABNORMAL","1953"
"16","ATLAS_OHT_RAIL_CUT","2026-04-14 21:00:00.040+0900","15126:15132,15127:15128,15130:15131,15131:15136,15126:15127,15122:15123,15124:15125,15129:15130,15123:15124,15133:15134,15132:15133,15125:15126,15121:15122,15134:15135,15135:15136,1293:15121,15128:15129","","REAL","2026-04-14 09:00:28","M14A","1293","false","A","ABNORMAL","15121"
"14","ATLAS_OHT_RAIL_CUT","2026-04-14 21:00:00.040+0900","9020:9447","","REAL","2026-04-14 09:00:28","M14A","9020","false","A","ABNORMAL","9447"
"12","ATLAS_OHT_RAIL_CUT","2026-04-14 21:00:00.040+0900","15183:15184,15192:15193,15182:15183,15189:15190,15184:15185,15190:15191,15183:15189,15178:15180,15188:15193,15187:15188,15180:15181,1465:15178,15186:15187,15181:15182,15191:15192,15185:15186","","REAL","2026-04-14 09:00:28","M14A","1465","false","A","ABNORMAL","15178"
"11","ATLAS_OHT_RAIL_CUT","2026-04-14 21:00:00.040+0900","1367:1370","","REAL","2026-04-14 09:00:28","M14A","1367","false","A","ABNORMAL","1370"
"10","ATLAS_OHT_RAIL_CUT","2026-04-14 21:00:00.040+0900","13181:13182,13187:13170,13180:13181,13182:13183,13178:13179,13179:13180,13184:13185,13186:13187,13188:12656,13187:13188,13183:13184,13185:13186","","REAL","2026-04-14 09:00:28","M14A","13178","false","A","ABNORMAL","13179"
