CRT_TM,M14.QUE.ALL.CURRENTQCNT,M14.QUE.ALL.CURRENTQCOMPLETED,M14.QUE.OHT.CURRENTOHTQCNT,M14.QUE.OHT.OHTUTIL,M14.QUE.LOAD.AVGLOADTIME,M14.QUE.ALL.TRANSPORT4MINOVERCNT,M14.OHT.STATECNT.DRIVING,M14.OHT.STATECNT.OBSANDBZSTOP,M14.OHT.STATECNT.CONGESTED,M14.OHT.STATECNT.PAUSE,M14.OHT.STATECNT.TIMEOUT
2026-04-14 08:30:00,1304,2801,874,,2.474,103,908,158,1,0,0
2026-04-14 08:31:00,1378,2831,932,,2.475,117,907,159,1,0,0
2026-04-14 08:32:00,1407,2834,975,,2.473,106,895,173,0,1,0
2026-04-14 08:33:00,1394,2879,990,,2.478,116,888,180,0,0,0
2026-04-14 08:34:00,1392,2875,957,,2.505,123,897,171,0,0,0
2026-04-14 08:35:00,1411,2914,976,,2.516,106,897,173,0,0,0
2026-04-14 08:36:00,1400,2920,955,,2.562,133,903,165,0,0,0
2026-04-14 08:37:00,1361,2932,941,,2.568,120,903,164,0,0,0
2026-04-14 08:38:00,1299,3003,894,,2.58,129,926,142,0,0,0
2026-04-14 08:39:00,1262,3035,872,,2.593,137,917,148,0,1,0
2026-04-14 08:40:00,1241,3048,853,,2.581,125,910,158,0,0,0
2026-04-14 08:41:00,1234,3039,838,,2.584,148,908,159,0,1,0
2026-04-14 08:42:00,1249,3035,851,,2.582,132,903,163,0,0,0
2026-04-14 08:43:00,1264,3023,871,,2.583,139,922,146,0,0,0
2026-04-14 08:44:00,1304,3025,898,,2.566,131,912,156,0,0,0
2026-04-14 08:45:00,1369,2997,938,,2.566,117,908,160,0,0,0
2026-04-14 08:46:00,1347,2994,914,,2.493,112,899,169,0,0,0
2026-04-14 08:47:00,1405,2962,939,,2.481,111,910,157,0,0,0
2026-04-14 08:48:00,1360,2934,883,,2.452,114,917,149,0,1,0
2026-04-14 08:49:00,1406,2909,922,,2.46,92,905,160,0,3,0
2026-04-14 08:50:00,1403,2889,948,,2.474,105,898,171,0,1,0
2026-04-14 08:51:00,1387,2925,928,,2.47,96,898,171,0,0,0
