HID_No,Zone_ID,Sub_Region,Full_Name,Project,ZCU,HID_Type,Vehicle_Max
HID-OHT-140,,,HID-OHT-140,将来,,HID4,37
HID-OHT-141,,,HID-OHT-141,将来,,HID4,37
HID-OHT-142,,,HID-OHT-142,将来,,HID4,37
HID-OHT-168,,,,将来,,HID4,37
HID-OHT-169,,,,将来,,HID4,37
HID-OHT-170,,,,将来,,HID4,37
HID-OHT-171,,,,将来,,HID4,37
HID-OHT-172,,,,将来,,HID4,37
HID-OHT-173,,,,将来,,HID4,37
HID-OHT-174,,,,将来,,HID4,37
HID-OHT-175,,,,将来,,HID4,37
HID-OHT-176,,,HID-BR1,M14 Bridge Project,ZC483A,HID4,37
HID-OHT-177,,,HID-BR2,M14 Bridge Project,ZC481A,HID4,31
HID-OHT-001,B01,1,HID-B01-1(001),M14 Project Ph-1,ZC504A,HID4,37
HID-OHT-002,B01,2,HID-B01-2(002),M14 Project Ph-1,ZC505A,HID4,37
HID-OHT-003,B02,1,HID-B02-1(003),M14 Project Ph-1,ZC511A,HID4,37
HID-OHT-004,B03,1,HID-B03-1(004),M14 Project Ph-1,ZC061A,HID4,37
HID-OHT-005,B04,1,HID-B04-1(005),M14 Project Ph-1,ZC064A,HID4,37
HID-OHT-006,B05,1,HID-B05-1(006),M14 Project Ph-1,ZC520A,HID4,37
HID-OHT-007,B05,2,HID-B05-2(007),M14 Project Ph-1,ZC521A,HID4,37
HID-OHT-008,B06,1,HID-B06-1(008),M14 Project Ph-1,ZC528A,HID4,37
HID-OHT-009,B07,1,HID-B07-1(009),M14 Project Ph-1,ZC530A,HID4,37
HID-OHT-010,B08,1,HID-B08-1(010),M14 Project Ph-1,ZC533A,HID4,37
HID-OHT-011,B08,2,HID-B08-2(011),M14 Project Ph-1,ZC535A,HID4,37
HID-OHT-012,B09,1,HID-B09-1(012),M14 Project Ph-1,ZC538A,HID4,37
HID-OHT-013,B10,1,HID-B10-1(013),M14 Project Ph-1,ZC541A,HID4,37
HID-OHT-014,B10,2,HID-B10-2(014),M14 Project Ph-1,ZC542A,HID4,37
HID-OHT-015,B11,1,HID-B11-1(015),M14 Project Ph-1,ZC548A,HID4,37
HID-OHT-016,B12,1,HID-B12-1(016),M14 Project Ph-1,ZC552A,HID4,37
HID-OHT-017,B13,1,HID-B13-1(017),M14 Project Ph-1,ZC555A,HID4,37
HID-OHT-018,B14,1,HID-B14-1(018),M14 Project Ph-1,ZC558A,HID4,37
HID-OHT-019,B15,1,HID-B15-1(019),M14 Project Ph-1,ZC561A,HID4,37
HID-OHT-020,B15,2,HID-B15-2(020),M14 Project Ph-1,ZC562A,HID4,37
HID-OHT-021,B16,1,HID-B16-1(021),M14 Project Ph-1,ZC569A,HID4,37
HID-OHT-022,B17,1,HID-B17-1(022),M14 Project Ph-1,ZC571A,HID4,37
HID-OHT-023,B17,2,HID-B17-2(023),M14 Project Ph-1,ZC572A,HID4,37
HID-OHT-024,B18,1,HID-B18-1(024),M14 Project Ph-1,ZC578A,HID4,37
HID-OHT-025,B18,2,HID-B18-2(025),M14 Project Ph-1,ZC579A,HID4,37
HID-OHT-026,B19,1,HID-B19-1(026),M14 Project Ph-1,ZC583A,HID4,37
HID-OHT-027,B19,2,HID-B19-2(027),M14 Project Ph-1,ZC585A,HID4,37
HID-OHT-028,B20,1,HID-B20-1(028),M14 Project Ph-1,ZC596A,HID4,37
HID-OHT-146,B20,2,HID-B20-2(146),M14 Project Ph-1,ZC597A,MiniHID,5
HID-OHT-143,B20,3,HID-B20-3(143),M14 Project Ph-1,ZC590A,MiniHID,5
HID-OHT-147,B20,4,HID-B20-4(147),M14 Project Ph-1,ZC608A,MiniHID,5
HID-OHT-144,B20,5,HID-B20-5(144),M14 Project Ph-1,ZC593A,MiniHID,5
HID-OHT-148,B20,6,HID-B20-6(148),M14 Project Ph-1,ZC609A,MiniHID,5
HID-OHT-145,B20,7,HID-B20-7(145),M14 Project Ph-1,ZC595A,MiniHID,5
HID-OHT-149,B20,8,HID-B20-8(149),M14 Project Ph-1,ZC613A,MiniHID,5
HID-OHT-029,B21,1,HID-B21-1(029),M14 Project Ph-1,ZC615A,HID4,37
HID-OHT-030,B21,2,HID-B21-2(030),M14 Project Ph-1,ZC620A,HID4,37
HID-OHT-031,B22,1,HID-B22-1(031),M14 Project Ph-1,ZC629A,HID4,37
HID-OHT-032,B22,2,HID-B22-2(032),M14 Project Ph-1,ZC630A,HID4,37
