CSV_Zone_ID,HID_No,XML_Zone_ID,Match_Score,Status,Bay_Zone,Full_Name,IN_Lanes,OUT_Lanes,Vehicle_Max,Vehicle_Precaution,ZCU
1,HID-OHT-001,4259,3,MATCHED,B01,HID-B01-1(001),5170→6223; 5238→6232; 5304→6240; 6221→6222; 6708→6709; 6771→6710,6228→5171; 6237→5239; 6241→5305; 6243→6244; 6723→6724; 6723→6757,37,35,ZC157A
2,HID-OHT-002,2,5,MATCHED,B01,HID-B01-2(002),3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,ZC507A
3,HID-OHT-003,3,4,MATCHED,B02,HID-B02-1(003),3081→3082; 3183→3184; 6011→3093; 7809→3127,3118→3067; 3125→7813; 3152→3169; 3160→6015,37,35,ZC505A
4,HID-OHT-004,4,5,MATCHED,B03,HID-B03-2(004),3152→3169; 3251→3204; 5682→3165; 6020→3161; 7800→3196,3183→3184; 3194→7804; 3219→3236; 3227→6023,37,35,ZC514A
5,HID-OHT-005,4004,4,MATCHED,B04,HID-B04-1(005),3219→3236; 3322→3268; 6024→3228; 7796→3260,3251→3204; 3258→7799; 3285→3304; 3293→6028,37,35,ZC517A
6,HID-OHT-006,6,5,MATCHED,B05,HID-B05-2(006),3285→3304; 3343→3316; 3343→3344; 3386→3295; 6033→3294,3322→3268; 3338→3339; 3338→3370; 3352→7792; 3353→3355,37,35,ZC520A
7,HID-OHT-007,7,5,MATCHED,B05,HID-B05-1(007),3338→3339; 3338→3370; 3353→3355; 3413→3362; 7789→3354,3343→3316; 3343→3344; 3376→3377; 3386→3295; 3387→6037,37,35,ZC523A
8,HID-OHT-008,8,4,MATCHED,B06,HID-B06-2(008),3376→3377; 3477→3430; 6042→3388; 7780→3422,3413→3362; 3420→7784; 3445→3462; 3448→5685; 3453→6045,37,35,ZC521A
9,HID-OHT-009,9,4,MATCHED,B06,HID-B06-1(009),3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,ZC530A
10,HID-OHT-010,10,5,MATCHED,B02,HID-B02-2(010),3511→3530; 3570→3542; 3570→3571; 3613→3521; 6055→3520,3544→3545; 3565→3566; 3565→3597; 3579→7771; 3580→3582,37,35,ZC533A
11,HID-OHT-011,11,5,MATCHED,B02,HID-B02-1(011),3565→3566; 3565→3597; 3580→3582; 3640→3589; 7767→3581,3570→3542; 3570→3571; 3606→3623; 3613→3521; 3614→6059,37,35,ZC535A
12,HID-OHT-012,12,4,MATCHED,B02,HID-B02-2(012),3606→3623; 3713→3657; 6064→3615; 7759→3649,3640→3589; 3647→7763; 3675→3694; 3683→6068,37,35,ZC538A
13,HID-OHT-013,13,5,MATCHED,B02,HID-B02-1(013),3675→3694; 3734→3706; 3734→3735; 3778→3685; 6073→3684,3713→3657; 3729→3730; 3729→3761; 3743→7754; 3744→3746,37,35,ZC541A
14,HID-OHT-014,14,5,MATCHED,B02,HID-B02-2(014),3729→3730; 3729→3761; 3744→3746; 3813→3753; 7750→3745,3734→3706; 3734→3735; 3767→3768; 3778→3685; 3779→6076,37,35,ZC544A
