Zone_ID,HID_No,Bay_Zone,Sub_Region,Full_Name,Territory,Type,IN_Count,OUT_Count,IN_Lanes,OUT_Lanes,Vehicle_Max,Vehicle_Precaution,Project,ZCU,HID_Type,HID_ID,Zone_ID2,Addr_No,Station_No
1,HID-OHT-001,B01,1,HID-B01-1(001),1,HID,5,5,3048→3023; 3048→3049; 3091→3002; 6003→3001; 7849→3011,3025→3026; 3043→3044; 3043→3075; 3057→7821; 3058→3060,37,35,M14 Project Ph-1,ZC508A,HID4,,,,
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4AFZ01-001,2,3058,14901
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4AFZ01-101,2,3002,35001
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4AFZ01-301,2,3075,15097
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4AFZ01-401,2,3060,25056
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4AFZ01-437,2,3075,25092
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4ANZ01-301,2,3060,15062
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4CSC0101_1,2,3075,1122
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4CWS0109_2,2,3023,1043
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4CWS0109_3,2,3023,1042
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4KTV0102_1,2,3060,1097
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4KTV0102_2,2,3060,1096
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4,4KTV0102_3,2,3060,1095
3,HID-OHT-003,B02,1,HID-B02-1(003),1,HID,4,4,3081→3082; 3183→3184; 6011→3093; 7809→3127,3118→3067; 3125→7813; 3152→3169; 3160→6015,37,35,M14 Project Ph-1,ZC505A,HID4,,,,
4,HID-OHT-004,B03,2,HID-B03-2(004),1,HID,5,4,3152→3169; 3251→3204; 5682→3165; 6020→3161; 7800→3196,3183→3184; 3194→7804; 3219→3236; 3227→6023,37,35,M14 Project Ph-1,ZC514A,HID4,,,,
5,HID-OHT-005,B04,1,HID-B04-1(005),1,HID,4,4,3219→3236; 3322→3268; 6024→3228; 7796→3260,3251→3204; 3258→7799; 3285→3304; 3293→6028,37,35,M14 Project Ph-1,ZC517A,HID4,,,,
6,HID-OHT-006,B05,2,HID-B05-2(006),1,HID,5,5,3285→3304; 3343→3316; 3343→3344; 3386→3295; 6033→3294,3322→3268; 3338→3339; 3338→3370; 3352→7792; 3353→3355,37,35,M14 Project Ph-1,ZC520A,HID4,4ANZ04-417,6,3268,25542
