CRT_TM,M16HUB.QUE.ALL.CURRENTQCNT,M16HUB.QUE.ALL.CURRENTQCOMPLETED,M16HUB.QUE.OHT.CURRENTOHTQCNT,M16HUB.QUE.OHT.OHTUTIL,M16HUB.QUE.LOAD.AVGLOADTIME,M16HUB.QUE.ALL.TRANSPORT4MINOVERCNT,M16HUB.QUE.ALL.TRANSPORT4MINOVERRATIO,M16HUB.QUE.ALL.TRANSPORT4MINOVERTIMEAVG,M16HUB.QUE.TIME.AVGTOTALTIME,M16HUB.QUE.TIME.AVGTOTALTIME1MIN,M16HUB.OHT.ALERT.OHTMCPALARMCNT,M16HUB.QUE.M14TOM16.MESCURRENTQCNT,M16HUB.QUE.M16TOM14.MESCURRENTQCNT,M16HUB.QUE.M16TOM14A.MESCURRENTQCNT,M16HUB.QUE.M16TOM14B.MESCURRENTQCNT,M16HUB.QUE.ALL.FABTRANSJOBCNT,M16HUB.QUE.M14ATOM16.MESCURRENTQCNT,M16HUB.QUE.M14BTOM16.MESCURRENTQCNT,M16HUB.LFT.6ABL6011.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6012.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6021.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6022.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6031.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6032.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0111.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0112.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0121.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0122.TOTAL_CURRENTQCNT,M16HUB.QUE.ALL.M16HUBTOM14MANUAL_CURRENTQCNT,M16HUB.STRATE.STK.STORAGERATIO,M16HUB.STRATE.ALL.FABSTORAGERATIO
2026-05-06 00:00:00,1033,587,231,78.75,,0,0,0,4.368,5.322,0,170,726,463,263,1235,,,26,36,19,21,16,27,15,21,18,26,61,0,0
2026-05-06 00:01:00,1051,579,243,82.58,,0,0,0,4.472,5.435,0,169,738,480,258,1240,,,25,37,18,25,18,28,16,22,17,22,63,0,0
2026-05-06 00:02:00,1054,597,260,87.11,,0,0,0,4.489,6.49,0,166,733,477,256,1237,,,25,36,18,24,20,30,14,20,15,24,68,0,0
2026-05-06 00:03:00,1051,605,256,84.32,,0,0,0,4.625,5.393,0,167,715,464,251,1240,,,24,36,20,24,18,25,23,18,18,23,65,0,0
2026-05-06 00:04:00,1045,610,250,84.32,,0,0,0,4.627,7.5,0,153,707,467,240,1222,,,22,37,18,30,14,25,20,21,25,22,62,0,0
2026-05-06 00:05:00,1045,599,265,88.15,,0,0,0,4.757,5.471,0,135,697,462,235,1208,,,28,37,14,32,16,28,18,25,25,24,59,0,0
2026-05-06 00:06:00,1028,609,254,85.71,,0,0,0,4.371,5.363,0,130,689,464,225,1186,,,27,39,20,34,20,28,22,27,23,24,57,0,.59
2026-05-06 00:07:00,1027,591,257,87.8,,0,0,0,4.464,5.687,0,125,674,453,221,1170,,,27,40,26,33,19,25,23,26,25,22,58,0,0
2026-05-06 00:08:00,1011,592,260,86.41,,0,0,0,4.472,7.345,0,116,656,442,214,1156,,,28,41,26,30,17,25,24,24,23,23,55,0,0
2026-05-06 00:09:00,992,587,245,82.58,,0,0,0,4.592,5.733,0,120,631,428,203,1143,,,31,36,23,30,18,27,24,23,26,25,56,0,.59
2026-05-06 00:10:00,988,587,245,81.53,,0,0,0,4.206,4.319,0,123,619,415,204,1174,,,29,33,21,32,19,28,22,26,24,30,60,0,1.18
