CRT_TM,M16HUB.QUE.ALL.CURRENTQCNT,M16HUB.QUE.ALL.CURRENTQCOMPLETED,M16HUB.QUE.OHT.CURRENTOHTQCNT,M16HUB.QUE.OHT.OHTUTIL,M16HUB.QUE.LOAD.AVGLOADTIME,M16HUB.QUE.ALL.TRANSPORT4MINOVERCNT,M16HUB.QUE.ALL.TRANSPORT4MINOVERRATIO,M16HUB.QUE.ALL.TRANSPORT4MINOVERTIMEAVG,M16HUB.QUE.TIME.AVGTOTALTIME,M16HUB.QUE.TIME.AVGTOTALTIME1MIN,M16HUB.OHT.ALERT.OHTMCPALARMCNT,M16HUB.QUE.M14TOM16.MESCURRENTQCNT,M16HUB.QUE.M16TOM14.MESCURRENTQCNT,M16HUB.QUE.M16TOM14A.MESCURRENTQCNT,M16HUB.QUE.M16TOM14B.MESCURRENTQCNT,M16HUB.QUE.ALL.FABTRANSJOBCNT,M16HUB.QUE.M14ATOM16.MESCURRENTQCNT,M16HUB.QUE.M14BTOM16.MESCURRENTQCNT,M16HUB.LFT.6ABL6011.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6012.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6021.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6022.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6031.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6032.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0111.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0112.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0121.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0122.TOTAL_CURRENTQCNT,M16HUB.QUE.ALL.M16HUBTOM14MANUAL_CURRENTQCNT,M16HUB.STRATE.STK.STORAGERATIO,M16HUB.STRATE.ALL.FABSTORAGERATIO,M14.OHT.STATECNT.HTSTOP,M14.OHT.STATECNT.CONGESTED,M14.OHT.STATECNT.ABNORMAL,M14.OHT.STATECNT.OBSANDBZSTOP,M14B.QUE.OHT.OHTUTIL,M14B.QUE.OHT.CURRENTOHTQCNT,M14B.QUE.TIME.AVGTOTALTIME,M14B.QUE.TIME.AVGTOTALTIME1MIN,M14B.QUE.ABN.AOTRANSDELAY,M14B.OHT.ALERT.OHTMCPALARMCNT,M14B.LFT.4ABLD111.TOTAL_CURRENTQCNT,M14B.LFT.4ABLD112.TOTAL_CURRENTQCNT,M14B.LFT.4ABLD121.TOTAL_CURRENTQCNT,M14B.LFT.4ABLD122.TOTAL_CURRENTQCNT,M14B.LFT.4ABLD131.TOTAL_CURRENTQCNT,M14B.LFT.4ABLD132.TOTAL_CURRENTQCNT,M14B.QUE.ALL.7F_TO_HUB_JOB,M14B.QUE.ALL.7F_TO_HUB_JOB_ALT,M14B.QUE.OHT.7F_TO_HUB_CMD,M14B.LFT.SENDFAB.TO_M16HUB_CURRENTQCNT,M16_PKT.QUE.OHT.OHTUTIL,M16_PKT.QUE.TIME.AVGTOTALTIME1MIN,M16_PKT.QUE.ABN.AOTRANSDELAY,M16_PKT.OHT.ALERT.OHTMCPALARMCNT,M16_WT.QUE.OHT.OHTUTIL,M16_WT.QUE.TIME.AVGTOTALTIME1MIN,M16_WT.QUE.ABN.AOTRANSDELAY,M16_WT.OHT.ALERT.OHTMCPALARMCNT
2026-05-07 00:00:00,1072,572,237,79.09,,0,0,0,4.202,4.079,0,140,717,428,289,1204,,,33,37,19,32,26,32,21,31,31,23,62,0,0,0,0,0,161,86.82,683,2.828,2.879,0,0,11,7,7,7,7,11,47,4,41,69,34.29,3.558,0,0,21.02,1.504,0,0
2026-05-07 00:01:00,1096,565,239,79.44,,0,0,0,4.474,9.683,0,141,738,453,285,1210,,,34,36,18,35,22,29,24,28,28,31,68,0,0,0,0,0,161,85.19,671,2.832,2.813,,0,9,6,6,6,8,10,52,4,48,74,22.86,4.094,,0,25.57,1.913,,0
2026-05-07 00:02:00,1105,570,240,80.14,,0,0,0,4.177,4.572,0,140,744,457,287,1248,,,34,37,21,31,24,25,24,26,28,30,63,0,0,0,0,0,161,82.34,650,2.872,3.153,,0,8,8,8,8,4,8,50,4,46,77,17.14,4.689,,0,52.27,2.159,,0
2026-05-07 00:03:00,1110,571,235,78.75,,0,0,0,4.537,8.193,0,148,756,454,302,1239,,,32,36,22,29,23,28,26,28,30,28,62,0,0,0,0,0,161,78.67,622,2.851,2.748,,0,8,7,6,7,5,7,49,3,46,74,25.71,4.883,,0,55.11,2.085,,0
2026-05-07 00:04:00,1110,565,235,79.44,,0,0,0,4.233,4.374,0,149,745,450,295,1228,,,31,38,23,29,23,31,28,27,28,29,60,0,0,0,0,0,161,81.25,639,2.865,2.932,,0,8,6,4,8,8,7,54,6,48,79,31.43,4.158,,0,49.43,1.61,,0
2026-05-07 00:05:00,1112,561,243,81.18,,0,0,0,4.748,10.853,0,133,747,442,305,1217,,,33,38,22,30,24,29,29,23,30,29,59,0,0,0,0,0,161,81.66,642,2.889,3.237,0,0,7,7,6,8,6,6,45,3,41,68,34.29,4.267,0,0,40.91,1.552,0,0
2026-05-07 00:06:00,1106,563,248,82.93,,0,0,0,4.192,4.415,0,144,729,429,300,1224,,,31,36,22,32,21,30,22,27,28,32,60,0,0,0,0,0,161,80.57,633,2.95,3.33,,0,9,6,4,8,7,7,43,1,42,66,20,3.722,,0,25,1.909,,0
2026-05-07 00:07:00,1113,564,247,83.28,,0,0,0,4.808,11.137,0,142,758,449,309,1242,,,31,37,21,31,22,30,20,26,28,32,60,0,0,0,0,0,161,83.7,668,2.886,3.05,,0,6,5,4,4,9,8,56,7,49,73,17.14,3.789,,0,44.89,2.291,,0
2026-05-07 00:08:00,1121,561,254,86.76,,0,0,0,4.247,4.475,0,142,756,443,313,1261,,,30,39,20,33,18,31,23,26,27,33,62,0,0,0,0,0,161,81.79,668,2.908,3.114,,0,8,5,6,2,8,5,49,4,46,69,25.71,4.558,,0,39.77,1.981,,0
2026-05-07 00:09:00,1118,572,251,85.71,,0,0,0,4.929,10.198,0,134,769,445,324,1233,,,31,37,22,32,17,33,21,25,32,34,58,0,0,0,0,0,161,81.52,651,2.93,2.949,,0,5,4,6,6,7,4,43,2,41,64,31.43,3.724,,0,27.84,2.22,,0
2026-05-07 00:10:00,1107,566,245,81.88,,0,0,0,4.211,4.12,0,126,772,455,317,1236,,,32,40,21,32,21,30,26,26,27,38,59,0,0,0,0,0,161,75,585,2.923,2.816,0,0,6,3,5,8,7,6,38,1,37,58,37.14,5.358,0,0,18.75,1.517,0,0
