"_id","_table","_time","ENV","EQP_ID","EVENT_DATE","EVENT_DT","FAB_ID","FREE_FLOW_SPEED","FROM_HIDID","HID_VALUE","MCP_NM","TO_HIDID","TRANS_CNT","VHL_COUNT_LIMIT","VHL_ID","VHL_PRECAUTION"
"1167472","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","152.47763903665816","19","2","BR","13","1","0","BV0103","0"
"1167471","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","137.25724553102052","36","5","BR","35","1","0","BV0085","0"
"1167467","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","138.64155667175248","17","6","BR","23","1","0","BV0220","0"
"1167462","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","139.72573252416564","20","5","BR","14","1","0","BV0175","0"
"1167454","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","135.40066044466627","5","8","BR","1","1","0","BV0180","0"
"1167446","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","129.76493974093972","31","7","BR","24","1","0","BV0098","0"
"1167443","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","121.36068965829412","5","12","BR","6","1","0","BV0199","0"
"1167439","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","121.10877661285036","30","5","BR","36","1","0","BV0083","0"
"1167436","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","134.32544624107115","26","2","BR","34","1","0","BV0099","0"
"1167435","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","139.74198686530076","20","4","BR","14","1","0","BV0224","0"
"1167425","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","126.68231639520215","25","3","BR","19","1","0","BV0075","0"
"1167412","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","120.70197181201749","30","7","BR","36","1","0","BV0191","0"
"1167406","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","134.34604024850182","20","8","BR","21","1","0","BV0228","0"
"1167390","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","144.29272951347164","19","4","BR","12","1","0","BV0175","0"
"1167383","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","132.84366790528813","30","6","BR","21","1","0","BV0083","0"
"1167382","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","140.01612232669856","24","8","BR","18","1","0","BV0163","0"
"1167378","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","120.47138892501445","30","8","BR","36","1","0","BV0060","0"
"1167375","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","140.10621054901281","25","8","BR","18","1","0","BV0073","0"
"1167369","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","134.82455078165606","30","8","BR","21","1","0","BV0073","0"
"1167361","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","137.16459301110007","36","3","BR","35","1","0","BV0102","0"
"1167354","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","144.79511402288787","11","3","BR","12","1","0","BV0242","0"
"1167348","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","144.2906681756128","19","5","BR","12","1","0","BV0226","0"
"1167345","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","140.2835956474829","25","8","BR","18","1","0","BV0240","0"
"1167318","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","138.82230871193292","17","3","BR","23","1","0","BV0129","0"
"1167316","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","129.75574657538084","28","7","BR","24","1","0","BV0141","0"
"1167298","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","134.49826153374661","36","3","BR","29","1","0","BV0157","0"
"1167285","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","122.05850905450133","5","15","BR","6","1","0","BV0081","0"
"1167283","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","132.3803402626636","21","14","BR","30","1","0","BV0200","0"
"1167281","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","142.91200631210046","10","3","BR","17","1","0","BV0161","0"
"1167278","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","148.24355083856324","16","5","BR","22","1","0","BV0215","0"
"1167268","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","127.57243197676716","6","9","BR","2","1","0","BV0056","0"
"1167264","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","134.69466615389985","25","7","BR","21","1","0","BV0185","0"
"1167263","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","142.05893882250714","32","5","BR","33","1","0","BV0089","0"
"1167251","M16A_ATLAS_HID_INOUT","2026-04-21 14:00:00.873+0900","REAL","6ECMB101","2026-04-21","2026-04-21 14:00:00","M16A","146.9219143241767","21","9","BR","25","1","0","BV0222","0"
