CRT_TM,M16HUB.QUE.ALL.CURRENTQCNT,M16HUB.QUE.ALL.CURRENTQCOMPLETED,M16HUB.QUE.OHT.CURRENTOHTQCNT,M16HUB.QUE.OHT.OHTUTIL,M16HUB.QUE.ALL.TRANSPORT4MINOVERCNT,M16HUB.QUE.ALL.TRANSPORT4MINOVERRATIO,M16HUB.QUE.ALL.TRANSPORT4MINOVERTIMEAVG,M16HUB.QUE.TIME.AVGTOTALTIME,M16HUB.QUE.TIME.AVGTOTALTIME1MIN,M16HUB.OHT.ALERT.OHTMCPALARMCNT,M16HUB.QUE.M14TOM16.MESCURRENTQCNT,M16HUB.QUE.M16TOM14.MESCURRENTQCNT,M16HUB.QUE.M16TOM14A.MESCURRENTQCNT,M16HUB.QUE.M16TOM14B.MESCURRENTQCNT,M16HUB.QUE.ALL.FABTRANSJOBCNT,M16HUB.LFT.6ABL6011.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6012.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6021.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6022.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6031.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL6032.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0111.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0112.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0121.TOTAL_CURRENTQCNT,M16HUB.LFT.6ABL0122.TOTAL_CURRENTQCNT,M16HUB.QUE.ALL.M16HUBTOM14MANUAL_CURRENTQCNT,M16HUB.STRATE.STK.STORAGERATIO,M16HUB.STRATE.ALL.FABSTORAGERATIO
2026-04-21 13:00:00,710,474,306,94.79,0,0,0,5.278,5.118,0,586,407,243,164,1249,27,25,19,24,12,19,14,21,20,23,52,0,10.65
2026-04-21 13:01:00,704,473,302,95.83,0,0,0,5.179,5.111,0,582,398,236,162,1252,25,23,23,21,9,20,14,21,19,19,53,0,12.43
2026-04-21 13:02:00,691,467,306,94.1,0,0,0,5.181,5.496,0,586,396,232,164,1239,26,24,23,18,16,19,12,17,21,21,53,0,14.79
2026-04-21 13:03:00,684,466,299,92.71,0,0,0,5.19,5.523,0,584,391,231,160,1242,28,24,20,18,13,18,15,18,20,21,52,0,17.16
2026-04-21 13:04:00,673,471,295,94.1,0,0,0,5.454,7.923,0,578,380,226,154,1243,27,26,18,18,12,24,18,20,20,23,50,0,19.53
2026-04-21 13:05:00,660,473,289,92.36,0,0,0,5.544,6.791,0,571,374,222,152,1239,28,24,20,22,16,23,21,22,21,21,50,0,22.49
2026-04-21 13:06:00,658,467,302,96.18,0,0,0,5.556,6.319,0,568,373,223,150,1241,27,25,24,22,16,20,22,24,19,22,49,0,24.26
2026-04-21 13:07:00,661,468,308,97.22,0,0,0,5.748,7.457,0,561,366,221,145,1222,29,23,24,26,17,22,23,25,19,19,49,0,24.26
2026-04-21 13:08:00,645,463,298,95.14,0,0,0,6.239,10.058,0,557,347,209,138,1209,28,25,25,22,18,21,23,23,23,16,48,0,20.71
2026-04-21 13:09:00,630,467,285,92.36,0,0,0,6.585,9.505,0,556,327,198,129,1187,28,30,25,26,16,22,22,24,25,19,44,0,18.34
