Lifter,Port,Direction,Floor,Address,신뢰도
6ABL0111,6ABL0111_AI313,IN,3F,1001,정확
6ABL0111,6ABL0111_AI321,IN,3F,1023,정확
6ABL0111,6ABL0111_AI323,IN,3F,1005,정확
6ABL0111,6ABL0111_AO311,OUT,3F,2374,근사
6ABL0111,6ABL0111_AO312,OUT,3F,2374,근사
6ABL0111,6ABL0111_AO322,OUT,3F,1344,근사
6ABL0112,6ABL0112_AI313,IN,3F,1002,정확
6ABL0112,6ABL0112_AI321,IN,3F,1022,정확
6ABL0112,6ABL0112_AI323,IN,3F,1006,정확
6ABL0112,6ABL0112_AO311,OUT,3F,2374,근사
6ABL0112,6ABL0112_AO312,OUT,3F,2373,근사
6ABL0112,6ABL0112_AO322,OUT,3F,1343,근사
6ABL0121,6ABL0121_AI313,IN,3F,1003,정확
6ABL0121,6ABL0121_AI321,IN,3F,1019,정확
6ABL0121,6ABL0121_AI323,IN,3F,1007,정확
6ABL0121,6ABL0121_AO311,OUT,3F,2372,근사
6ABL0121,6ABL0121_AO312,OUT,3F,2372,근사
6ABL0121,6ABL0121_AO322,OUT,3F,2847,근사
6ABL0122,6ABL0122_AI313,IN,3F,1004,정확
6ABL0122,6ABL0122_AI321,IN,3F,1018,정확
6ABL0122,6ABL0122_AI323,IN,3F,1008,정확
6ABL0122,6ABL0122_AO311,OUT,3F,2371,근사
6ABL0122,6ABL0122_AO312,OUT,3F,2371,근사
6ABL0122,6ABL0122_AO322,OUT,3F,2846,근사
6ABL6011,6ABL6011_AI311,IN,3F,1035,정확
6ABL6011,6ABL6011_AI312,IN,3F,1036,정확
6ABL6011,6ABL6011_AI322,IN,3F,1048,정확
6ABL6011,6ABL6011_AO313,OUT,3F,2799,근사
6ABL6011,6ABL6011_AO321,OUT,3F,1794,근사
6ABL6011,6ABL6011_AO323,OUT,3F,1804,근사
6ABL6012,6ABL6012_AI311,IN,3F,1034,정확
6ABL6012,6ABL6012_AI312,IN,3F,1033,정확
6ABL6012,6ABL6012_AI322,IN,3F,1045,정확
6ABL6012,6ABL6012_AO313,OUT,3F,2800,근사
6ABL6012,6ABL6012_AO321,OUT,3F,1793,근사
6ABL6012,6ABL6012_AO323,OUT,3F,1805,근사
6ABL6021,6ABL6021_AI311,IN,3F,1031,정확
6ABL6021,6ABL6021_AI312,IN,3F,1032,정확
6ABL6021,6ABL6021_AI322,IN,3F,1044,정확
6ABL6021,6ABL6021_AO313,OUT,3F,2325,근사
6ABL6021,6ABL6021_AO321,OUT,3F,2874,근사
6ABL6021,6ABL6021_AO323,OUT,3F,2890,근사
6ABL6022,6ABL6022_AI311,IN,3F,1030,정확
6ABL6022,6ABL6022_AI312,IN,3F,1029,정확
6ABL6022,6ABL6022_AI322,IN,3F,1041,정확
6ABL6022,6ABL6022_AO313,OUT,3F,2326,근사
6ABL6022,6ABL6022_AO321,OUT,3F,2873,근사
6ABL6022,6ABL6022_AO323,OUT,3F,2892,근사
6ABL6031,6ABL6031_AI311,IN,3F,1027,정확
6ABL6031,6ABL6031_AI312,IN,3F,1028,정확
6ABL6031,6ABL6031_AI322,IN,3F,1040,정확
6ABL6031,6ABL6031_AO313,OUT,3F,2327,근사
6ABL6031,6ABL6031_AO321,OUT,3F,1272,근사
6ABL6031,6ABL6031_AO323,OUT,3F,1293,근사
6ABL6032,6ABL6032_AI311,IN,3F,1026,정확
6ABL6032,6ABL6032_AI312,IN,3F,1025,정확
6ABL6032,6ABL6032_AI322,IN,3F,1037,정확
6ABL6032,6ABL6032_AO313,OUT,3F,2328,근사
6ABL6032,6ABL6032_AO321,OUT,3F,1271,근사
6ABL6032,6ABL6032_AO323,OUT,3F,1295,근사
