file,datetime,date,time,stage,stage_name,prev_stage,transition,unified_risk_score,unified_risk_level,hot_area,hot_score,affected_areas,propagation_chain,flow_signals,maxcapa_signals,M16HUB_score,M14_score,M14B_score,M16A_score,M16B_score,M16_score,M16_PKT_score,M16_WT_score,M16HUB_signals,M14_signals,M14B_signals,M16A_signals,M16B_signals,M16HUB_ra,M14_ra,M14B_ra,M16A_ra,M16B_ra,M16HUB_rb_diff30,M14_rb_diff30,M14B_rb_diff30,M16A_rb_diff30,M16B_rb_diff30,M16HUB_rd_fab,M16HUB_stb_util,M16HUB_rev_count,M16HUB_rev_lids,sla_M14,sla_M14B,sla_M16A,sla_M16B,sla_M16HUB,sorter_M14,sorter_M14B,sorter_M16A,sorter_M16B,sorter_M16HUB,reason,M16HUB_pts_RA,M16HUB_pts_RA_sus,M16HUB_pts_RB,M16HUB_pts_RB_fast,M16HUB_pts_RC,M16HUB_pts_RD,M16HUB_pts_SLA,M16HUB_pts_SORT,M16HUB_pts_MAXCAPA,M14_pts_RA,M14_pts_RA_sus,M14_pts_RB,M14_pts_RB_fast,M14_pts_RC,M14_pts_RD,M14_pts_SLA,M14_pts_SORT,M14_pts_MAXCAPA,M14B_pts_RA,M14B_pts_RA_sus,M14B_pts_RB,M14B_pts_RB_fast,M14B_pts_RC,M14B_pts_RD,M14B_pts_SLA,M14B_pts_SORT,M14B_pts_MAXCAPA,M16A_pts_RA,M16A_pts_RA_sus,M16A_pts_RB,M16A_pts_RB_fast,M16A_pts_RC,M16A_pts_RD,M16A_pts_SLA,M16A_pts_SORT,M16A_pts_MAXCAPA,M16B_pts_RA,M16B_pts_RA_sus,M16B_pts_RB,M16B_pts_RB_fast,M16B_pts_RC,M16B_pts_RD,M16B_pts_SLA,M16B_pts_SORT,M16B_pts_MAXCAPA,layer1_total,flow_score,sla_score_total,sorter_score_total,mc_score_total,M16HUB_ra_count,M14_ra_count,M14B_ra_count,M16A_ra_count,M16B_ra_count,M16HUB_rb_diff10,M14_rb_diff10,M14B_rb_diff10,M16A_rb_diff10,M16B_rb_diff10,M16HUB_rc_trend,M14_cnv_skew,M14_rd_oht,M14B_rd_oht,M16A_rd_oht,M16B_rd_oht,M16HUB_sla_cnt,M14_sla_cnt,M16A_sla_cnt,M16B_sla_cnt,M16A_sorter_fail,M16B_sorter_fail,M16HUB_score_raw,M14_score_raw,M14B_score_raw,M16A_score_raw,M16B_score_raw
M16A_HUBROOM_PR.csv,2026-06-09 00:00,2026-06-09,00:00,3,3단계 ⭐확정,1,1→3,70,경계,M16B,20,M16HUB;M16B,"M16HUB(23:02,RA+RA_sus) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",,,17,13,0,10,20,0,5,0,RA+RD,RA_sus+RC,,RA_sus+SLA,RA_sus+RB+RB_fast,4.95,2.55,2.97,2.70,2.46,41,13,29,-12,33,0.59,99.41,6,"6ABL6011,6ABL6021,6ABL6032,6ABL0111,6ABL0121,6ABL0122",14.35,0,15.38,8.62,0,35,13,33,19,0,"hot_area=M16B; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=4.95분/기준9.0),R-D(FAB저장=0.6%,STB=99.4%)]; M14[R-A_sus,R-C'(CNV쏠림)]; M16A[R-A_sus,SLA(15.4%4분초과)]; M16B[R-A_sus,R-B(10F_TO_HUB_JOB+33/30분/기준+30),R-B_fast(+10/10분)]; M16_PKT[R-A_sus]",10,0,0,0,0,7,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,10,5,0,0,0,0,0,65,0,5,0,0,1,0,0,0,0,-24,-30,9,-2,10,19,0.72,80.35,80.45,90.81,83.90,0,121,116,73,0,0,17,13,0,10,20
M16A_HUBROOM_PR.csv,2026-06-09 00:01,2026-06-09,00:01,3,3단계 ⭐확정,3,,95,주의,M16B,20,M16HUB;M14;M16B,"M16HUB(23:02,RA+RA_sus) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",M16B_10F_TO_HUB=1.6x(주의),,17,18,0,10,20,10,5,0,RA+RD,RA_sus+RC+SLA,,RA_sus+SLA,RA_sus+RB+RB_fast,5.04,2.33,2.98,2.81,2.83,38,14,22,12,42,0,100.00,6,"6ABL6011,6ABL6031,6ABL6032,6ABL0111,6ABL0121,6ABL0122",13.45,0,15.25,9.22,0,41,20,37,21,0,"hot_area=M16B; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=5.04분/기준9.0),R-D(FAB저장=0.0%,STB=100.0%)]; M14[R-A_sus,R-C'(CNV쏠림),SLA(13.4%4분초과)]; M16A[R-A_sus,SLA(15.2%4분초과)]; M16B[R-A_sus,R-B(10F_TO_HUB_JOB+42/30분/기준+30),R-B_fast(+12/10분)]; M16[R-B(SENDQUEUETOTAL+35/30분/기준+20)]; M16_PKT[R-A_sus]; 흐름:M16B_10F_TO_HUB=1.6x(주의)",10,0,0,0,0,7,0,0,0,0,5,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,10,5,0,0,0,0,0,80,5,10,0,0,1,0,0,0,0,-38,-29,-2,-13,12,15,0.72,77.72,84.97,91.76,87.00,0,119,104,71,0,0,17,18,0,10,20
M16A_HUBROOM_PR.csv,2026-06-09 00:02,2026-06-09,00:02,3,3단계 ⭐확정,3,,80,주의,M16A,27,M14;M16A;M16B,"M16HUB(23:02,RA+RA_sus) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",,,10,18,0,27,15,0,0,0,RA,RA_sus+RC+SLA,,RA+RA_sus+RD+SLA,RA_sus+RB,4.34,2.34,2.85,3.20,2.32,30,15,13,8,35,0,98.82,5,"6ABL6021,6ABL6031,6ABL6032,6ABL0121,6ABL0122",13.76,0,14.90,8.44,0,38,16,38,19,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=4.34분/기준9.0)]; M14[R-A_sus,R-C'(CNV쏠림),SLA(13.8%4분초과)]; M16A[R-A'(AVGLOADTIME1MIN=3.20분/기준3.2),R-A_sus,R-D(OHT=95.6%),SLA(14.9%4분초과)]; M16B[R-A_sus,R-B(10F_TO_HUB_JOB+35/30분/기준+30)]",10,0,0,0,0,0,0,0,0,0,5,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,7,5,0,0,0,5,10,0,0,0,0,0,0,70,0,10,0,0,1,0,0,1,0,-20,-31,-4,-18,2,5,0.73,75.41,85.51,95.64,82.87,0,131,111,73,0,0,10,18,0,27,15
M16A_HUBROOM_PR.csv,2026-06-09 00:03,2026-06-09,00:03,3,3단계 ⭐확정,3,,98,주의,M16B,25,M16HUB;M16A;M16B,"M16HUB(23:04,RA+RA_sus) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",,,18,10,0,20,25,10,0,0,RA+RC,RA_sus+SLA,,RA+RA_sus+SLA,RA_sus+RB+RB_fast+SLA,5.10,2.33,2.99,3.09,2.75,33,2,10,25,32,0,98.82,5,"6ABL6011,6ABL6031,6ABL6032,6ABL0121,6ABL0122",13.59,0,15.12,8.67,0,37,13,36,18,0,"hot_area=M16B; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=5.10분/기준9.0),R-C'(역증가5개:6ABL6011,6ABL6031,6ABL6032,6ABL0121,6ABL0122)]; M14[R-A_sus,SLA(13.6%4분초과)]; M16A[R-A'(AVGLOADTIME1MIN=3.09분/기준3.2),R-A_sus,SLA(15.1%4분초과)]; M16B[R-A_sus,R-B(10F_TO_HUB_JOB+32/30분/기준+30),R-B_fast(+11/10분),SLA(8.7%4분초과)]; M16[R-B(SENDQUEUETOTAL+26/30분/기준+20)]",10,0,0,0,8,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,5,0,0,0,5,10,5,0,0,5,0,0,83,0,15,0,0,1,0,0,1,0,0,-22,13,2,11,-5,0.67,80.47,81.78,93.76,86.41,0,117,101,68,0,0,18,10,0,20,25
M16A_HUBROOM_PR.csv,2026-06-09 00:04,2026-06-09,00:04,3,3단계 ⭐확정,3,,68,경계,M16A,20,M16HUB;M16A,"M16HUB(23:04,RA+RA_sus) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",,,18,10,0,20,10,0,0,0,RA+RC,RA_sus+SLA,,RA+RA_sus+SLA,RA_sus+RB_fast,12.10,2.58,2.90,2.62,2.35,41,8,4,63,29,0,98.82,5,"6ABL6011,6ABL6032,6ABL0111,6ABL0121,6ABL0122",13.32,0,15.03,6.20,0,37,15,33,18,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=12.10분/기준9.0),R-C'(역증가5개:6ABL6011,6ABL6032,6ABL0111,6ABL0121,6ABL0122)]; M14[R-A_sus,SLA(13.3%4분초과)]; M16A[R-A'(AVGLOADTIME1MIN=2.62분/기준3.2),R-A_sus,SLA(15.0%4분초과)]; M16B[R-A_sus,R-B_fast(+11/10분)]",10,0,0,0,8,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,58,0,10,0,0,1,0,0,1,0,19,-14,12,20,11,-1,0.64,80.47,78.06,92.82,89.66,0,122,89,43,0,0,18,10,0,20,10
M16A_HUBROOM_PR.csv,2026-06-09 00:05,2026-06-09,00:05,3,3단계 ⭐확정,3,,102,주의,M16A,32,M16HUB;M16A;M16B,"M16HUB(23:05,RA+RA_sus) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",,,30,5,0,32,15,10,0,0,RA+RB_fast+RC+RD,RA_sus,,RA+RA_sus+RB_fast+RD+SLA,RA_sus+RB_fast+SLA,4.57,2.45,2.99,2.93,3.10,33,11,1,71,17,0.59,99.41,5,"6ABL6011,6ABL6021,6ABL6032,6ABL0121,6ABL0122",13.35,0,15.14,9.95,0,35,13,38,18,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=4.57분/기준9.0),R-B_fast(+40/10분),R-C'(역증가5개:6ABL6011,6ABL6021,6ABL6032,6ABL0121,6ABL0122),R-D(FAB저장=0.6%,STB=99.4%)]; M14[R-A_sus]; M16A[R-A'(AVGLOADTIME1MIN=2.93분/기준3.2),R-A_sus,R-B_fast(+36/10분),R-D(OHT=95.6%),SLA(15.1%4분초과)]; M16B[R-A_sus,R-B_fast(+30/10분),SLA(9.9%4분초과)]; M16[R-B(SENDQUEUETOTAL+38/30분/기준+20)]",10,0,0,5,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,5,0,7,5,0,0,0,5,0,5,0,0,5,0,0,92,0,10,0,0,1,0,0,1,0,40,6,17,36,30,-12,0.58,80.47,82.05,95.64,92.61,0,127,111,84,0,0,30,5,0,32,15
M16A_HUBROOM_PR.csv,2026-06-09 00:06,2026-06-09,00:06,3,3단계 ⭐확정,3,,107,주의,M16HUB,30,M16HUB;M16A,"M16HUB(23:06,RA+RA_sus) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",M16A_2F_TO_HUB=3.1x(심각),,30,5,0,27,10,0,0,0,RA+RB_fast+RC+RD,RA_sus,,RA+RA_sus+RD+SLA,RA_sus+RB_fast,12.54,2.37,3.04,2.90,2.88,8,-4,-6,65,8,0,100.00,4,"6ABL6011,6ABL6032,6ABL0111,6ABL0121",12.43,0,15.23,10.34,0,36,17,37,18,0,"hot_area=M16HUB; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=12.54분/기준9.0),R-B_fast(+39/10분),R-C'(역증가4개:6ABL6011,6ABL6032,6ABL0111,6ABL0121),R-D(FAB저장=0.0%,STB=100.0%)]; M14[R-A_sus]; M16A[R-A'(AVGLOADTIME1MIN=2.90분/기준3.2),R-A_sus,R-D(OHT=96.3%),SLA(15.2%4분초과)]; M16B[R-A_sus,R-B_fast(+26/10분)]; 흐름:M16A_2F_TO_HUB=3.1x(심각)",10,0,0,5,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,7,5,0,0,0,5,0,5,0,0,0,0,0,72,30,5,0,0,2,0,0,1,0,39,15,24,17,26,-19,0.58,78.23,85.24,96.35,89.81,0,105,99,78,0,0,30,5,0,27,10
M16A_HUBROOM_PR.csv,2026-06-09 00:07,2026-06-09,00:07,3,3단계 ⭐확정,3,,87,주의,M16A,27,M16HUB;M16A,"M16HUB(23:07,RA+RC+RD) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",M16A_2F_TO_HUB=2.8x(위험),,25,5,0,27,5,5,0,0,RA+RC+RD,RA_sus,,RA+RA_sus+RD+SLA,RA_sus,4.87,2.79,3.09,2.94,2.32,-10,-3,-10,44,-11,0,99.41,4,"6ABL6011,6ABL6032,6ABL0121,6ABL0122",11.67,0,15.29,7.04,0,32,14,35,18,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=4.87분/기준9.0),R-C'(역증가4개:6ABL6011,6ABL6032,6ABL0121,6ABL0122),R-D(FAB저장=0.0%,STB=99.4%)]; M14[R-A_sus]; M16A[R-A'(AVGLOADTIME1MIN=2.94분/기준3.2),R-A_sus,R-D(OHT=97.4%),SLA(15.3%4분초과)]; M16B[R-A_sus]; M16[R-B_fast(+58/10분)]; 흐름:M16A_2F_TO_HUB=2.8x(위험)",10,0,0,0,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,7,5,0,0,0,5,0,0,0,0,0,0,0,67,15,5,0,0,2,0,0,1,0,21,11,7,-1,6,-17,0.57,79.40,86.30,97.41,88.92,0,105,87,46,0,0,25,5,0,27,5
M16A_HUBROOM_PR.csv,2026-06-09 00:08,2026-06-09,00:08,3,3단계 ⭐확정,3,,87,주의,M16HUB,30,M16HUB;M16A,"M16HUB(23:08,RA+RA_sus+RD) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",M16A_2F_TO_HUB=2.4x(위험),,30,5,0,27,5,0,0,0,RA+RA_sus+RC+RD,RA_sus,,RA+RA_sus+RD+SLA,RA_sus,13.15,2.58,2.96,3.01,2.90,-8,2,-8,59,-15,0,99.41,3,"6ABL6021,6ABL6032,6ABL0121",11.80,0,16.98,10.48,0,32,13,42,22,0,"hot_area=M16HUB; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=13.15분/기준9.0),R-A_sus,R-C'(역증가3개:6ABL6021,6ABL6032,6ABL0121),R-D(FAB저장=0.0%,STB=99.4%)]; M14[R-A_sus]; M16A[R-A'(AVGLOADTIME1MIN=3.01분/기준3.2),R-A_sus,R-D(OHT=95.8%),SLA(17.0%4분초과)]; M16B[R-A_sus]; 흐름:M16A_2F_TO_HUB=2.4x(위험)",10,5,0,0,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,7,5,0,0,0,5,0,0,0,0,0,0,0,67,15,5,0,0,3,0,0,1,0,2,4,0,13,3,-21,0.57,80.76,88.83,95.76,82.72,0,108,109,80,0,0,30,5,0,27,5
M16A_HUBROOM_PR.csv,2026-06-09 00:09,2026-06-09,00:09,3,3단계 ⭐확정,3,,80,주의,M16HUB,25,M16HUB;M16A,"M16HUB(23:09,RA+RB_fast+RD) → M14(23:09,RA_sus+RB_fast+SLA) → M16B(23:09,RA_sus+RB_fast+SLA) → M16A(23:14,RA_sus+RB_fast+SLA)",M16A_2F_TO_HUB=2.2x(위험),,25,5,0,20,5,5,0,0,RA+RC+RD,RA_sus,,RA+RA_sus+SLA,RA_sus,4.96,2.49,2.87,3.21,2.60,20,25,-4,64,-27,0,99.41,5,"6ABL6011,6ABL6021,6ABL6032,6ABL0121,6ABL0122",11.84,0,17.69,10.12,0,34,13,39,22,0,"hot_area=M16HUB; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=4.96분/기준9.0),R-C'(역증가5개:6ABL6011,6ABL6021,6ABL6032,6ABL0121,6ABL0122),R-D(FAB저장=0.0%,STB=99.4%)]; M14[R-A_sus]; M16A[R-A'(AVGLOADTIME1MIN=3.21분/기준3.2),R-A_sus,SLA(17.7%4분초과)]; M16B[R-A_sus]; M16[R-B_fast(+45/10분)]; 흐름:M16A_2F_TO_HUB=2.2x(위험)",10,0,0,0,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,60,15,5,0,0,3,0,0,2,0,22,14,-6,14,-22,-2,0.56,84.84,85.77,93.64,83.01,0,97,127,86,0,0,25,5,0,20,5
