No,원천 컬럼명,단위,의미,어느 룰에서 사용,용도
1,M16HUB.QUE.TIME.AVGTOTALTIME1MIN,분 (float),최근 1분 평균 TOTAL 반송시간 (smartSTAR),R-A',메인 - 시간축 정체 감지
2,M16HUB.QUE.M14TOM16.MESCURRENTQCNT,개수 (int),M14 → M16 브릿지 이동 반송 Q 수 (MES),R-B,메인 - 양축 큐 누적 감지
3,M16HUB.LFT.6ABL6011.TOTAL_CURRENTQCNT,개수 (int),6ABL6011 리프터 TOTAL Q 수,R-C',위치축 - 리프터 1
4,M16HUB.LFT.6ABL6012.TOTAL_CURRENTQCNT,개수 (int),6ABL6012 리프터 TOTAL Q 수,R-C',위치축 - 리프터 2
5,M16HUB.LFT.6ABL6021.TOTAL_CURRENTQCNT,개수 (int),6ABL6021 리프터 TOTAL Q 수,R-C',위치축 - 리프터 3
6,M16HUB.LFT.6ABL6022.TOTAL_CURRENTQCNT,개수 (int),6ABL6022 리프터 TOTAL Q 수,R-C',위치축 - 리프터 4
7,M16HUB.LFT.6ABL6031.TOTAL_CURRENTQCNT,개수 (int),6ABL6031 리프터 TOTAL Q 수,R-C',위치축 - 리프터 5
8,M16HUB.LFT.6ABL6032.TOTAL_CURRENTQCNT,개수 (int),6ABL6032 리프터 TOTAL Q 수,R-C',위치축 - 리프터 6
9,M16HUB.LFT.6ABL0111.TOTAL_CURRENTQCNT,개수 (int),6ABL0111 리프터 TOTAL Q 수,R-C',위치축 - 리프터 7
10,M16HUB.LFT.6ABL0112.TOTAL_CURRENTQCNT,개수 (int),6ABL0112 리프터 TOTAL Q 수,R-C',위치축 - 리프터 8
11,M16HUB.LFT.6ABL0121.TOTAL_CURRENTQCNT,개수 (int),6ABL0121 리프터 TOTAL Q 수,R-C',위치축 - 리프터 9
12,M16HUB.LFT.6ABL0122.TOTAL_CURRENTQCNT,개수 (int),6ABL0122 리프터 TOTAL Q 수,R-C',위치축 - 리프터 10
13,M16HUB.STRATE.ALL.FABSTORAGERATIO,% (float),FAB 내 저장장치 (STK+ZFS) 저장율 (Reserved 포함, Down 제외),R-D,메인 - 공간축 저장 포화 감지
14,M14B.QUE.ALL.7F_TO_HUB_JOB_ALT,개수 (int),7F → HUB 반송 JOB (ALT),R-D,보조 - ML 피처/로깅용 (트리거 미사용)
15,M14B.QUE.ABN.AOTRANSDELAY,개수 (int),10분 이상 AO Port 대기 FOUP 알람,(ML 피처),M14B 이상 지연 감지
16,M14B.QUE.OHT.OHTUTIL,% (float),M14B OHT 사용률,(ML 피처),M14B 가동률
17,M14B.LFT.4ABLD122.TOTAL_CURRENTQCNT,개수 (int),M14B 4ABLD122 리프터 Q 수,(ML 피처),M14B 리프터 모니터링
18,M14B.QUE.TIME.AVGTOTALTIME1MIN,분 (float),M14B 최근 1분 평균 반송시간,(ML 피처),M14B 정체 신호
19,M14B.QUE.ALL.7F_TO_HUB_JOB,개수 (int),7F → HUB 반송 JOB,(ML 피처),7F 출하 부하
20,M14.OHT.STATECNT.HTSTOP,개수 (int),HT-STOP (정체) 상태 OHT 수,(ML 피처),OHT 정체 카운트
21,M14.OHT.STATECNT.CONGESTED,개수 (int),정체 상태 OHT 수,(ML 피처),OHT 정체 카운트
22,M14.OHT.STATECNT.ABNORMAL,개수 (int),이상 상태 OHT 수,(ML 피처),OHT 이상 카운트
23,M16_PKT.QUE.ABN.AOTRANSDELAY,개수 (int),M16_PKT AO Port 지연 FOUP,(ML 피처),M16_PKT 지연
24,M16_WT.QUE.ABN.AOTRANSDELAY,개수 (int),M16_WT AO Port 지연 FOUP,(ML 피처),M16_WT 지연
