No,정체 유형,R-A' (시간),R-B (양),R-C' (위치),R-D (공간),S1,S2,S3,사건단위 기록,비고
1,평상 정상,X,X,X,X,X,X,X,X,모든 트리거 OFF
2,일시 슬로우다운,O,X,X,X,O,X,X,X,1MIN 잠깐 튐 - S1 만 발동
3,만성 슬로우다운,O (sustained),X,X,X,O,X,X,X,ra_sustained 발동 - 지속 정체
4,큐만 누적,X,O,X,X,X,O,X,X,M14→M16 큐 +100/30분 또는 +30/10분
5,일반 데드락 (4/21 형식),O,O,O,X,O,O,O,O,"R-A' + R-B + R-C' 모두 합치 ★ S3"
6,폭주형 (M14 급폭주),O,O (rb_fast),O,X,O,O,O,O,"rb_fast 로 10분만에 +30 급증 ★ S3"
7,공간 막힘형 (5/7 SFA),O,X,O,O,O,X,O,O,"R-B 없이 R-D 로 ★ S3 (R-B OR R-D)"
8,복합형,O,O,O,O,O,O,O,O,R-B 와 R-D 둘 다 발동 (최악 케이스)
9,위치 쏠림만,X,X,O,X,X,X,X,X,R-C' 만 켜져도 S3 안 됨 (시간/양 없음)
10,저장 가득만,X,X,X,O,X,X,X,X,R-D 만 켜져도 S3 안 됨 (시간/위치 없음)
11,시간 + 양 (위치 없음),O,O,X,X,O,O,X,X,R-C' 없으면 S2 까지만 (위양성 방어)
12,시간 + 공간 (위치 없음),O,X,X,O,O,X,X,X,R-C' 없으면 S3 안 됨
13,단발성 노이즈 (R-A' 1회),O,X,X,X,X,X,X,X,1MIN 한 번만 튀고 끝 - 미발동
14,노이즈성 큐 변동,X,O (작음),X,X,X,X,X,X,임계값 미만이면 미발동
