날짜,작업내용,시작,완료,비고
04/01,M16 ZT#6 호기 6F 가벽 철거 (오전 H/T STOP),09:50,11:03,작업 완료 보고
04/01,M16 ZT#6 호기 6F 가벽 철거 (오후 H/T STOP),13:30,14:56,Rail Cut → H/T STOP 변경
04/02,"M16A ZT 4,5 호기 6F CONV Port 차단",08:45,-,작업 영향 확인용 차단
04/02,M16A ZT 6 호기 6F 가벽 철거 (오전),09:00,11:48,작업 완료 보고
04/02,M16A ZT 6 호기 6F 가벽 철거 (오후),13:30,-,오전 작업 연장 및 완료 (오후 작업 없음)
04/03,4ABLD122 호기 Error 대응 (AI Close/Open),11:30,12:14,"11:30 Close, 11:41 Open, 11:42 재Close, 12:14 Open"
04/04,Bridge STB 공간부족 Maxcapa 50% 변경,01:08,01:46,"M14A/B, M16A 변경 및 원복 반복 (야간 작업)"
04/05,Maxcapa 조정 (3→1→원복),04:03,07:09,"M14A/B, M16A 다수 변경 및 원복 (야간/새벽 작업)"
04/06,M16A ZT#6 호기 3F CONV 안착 (오전),09:37,10:50,H/T 작업 완료
04/06,M16A ZT#6 호기 3F CONV 안착 (오후),14:14,16:10,H/T 작업 완료
04/07,M16A ZT#6 호기 3F CONV 설치 마무리 (오전),09:20,09:56,H/T 작업 완료
04/07,4ABLD111/112/121/122/131 호기 Error 대응,10:01,14:03,각 호기별 AI Close/Open 반복 조치
04/08,M16A ZT#6 호기 6F 작업 (오전),09:00,11:15,H/T-Stop 작업 완료
04/08,M16A ZT#6 호기 6F 작업 (오후),14:05,15:59,H/T-Stop 작업 완료
04/09,4AFC3201 ERROR 대응 (Port 차단/Open),01:02,01:21,M16→M14 A_IN 80~90 차단 후 복구
04/09,"M16A ZT 4,5 호기 6F Conv Port Down",09:51,10:27,작업 완료 후 Open
04/09,4ABLD112 호기 Error 대응,09:26,11:10,AI Close/Open 반복
04/10,TCM813 통신 Cable 교체 작업,10:00,11:00,4AFC3201(남측) Zone81318
04/12,4ABLD132 호기 Error 대응,08:20,08:44,AI Close/Open
04/12,4ABLD111 호기 Error 대응 (야간),22:04,22:26,"7F AI Close, 4F Foup Manual 제거 (HT-Stop)"
04/13,4ABLD122 호기 Error 대응 (새벽),01:12,01:45,Close 후 처리 완료 Open
04/13,M16A ZT 6 호기 3F 작업 (오전),09:11,11:25,Handy Stop 작업 완료
04/13,M16A ZT 6 호기 6F Rail Cut (오후),14:20,16:47,Conv 6 개 Down 작업 후 Open
04/16,Bridge OHT 몰림 Maxcapa 조정,10:48,11:19,"M14A/B, M16A Maxcapa 1 변경 및 원복"
04/19,HUB 반송 지연 모니터링,09:04,09:43,M14 7 층/LFT 문제 확인 (작업 아님)
04/21,6FIOB101 장비 Teaching 작업,09:00,11:43,Manual Input port 사용 (Hand Stop)
04/21,PM 관련 MLUD 물량 감축 조정,14:10,14:52,M14A/B 수량 단계적 감축 (50→10)
04/22,Hub Room Conveyor Port 설치 작업,07:05,14:25,OHT HT Stop 중단/재개 및 Conveyor 작업
04/22,M16↔M14 Bridge OHT Open,14:34,-,작업 종료 후 정상화
04/22,PM 관련 물량 원복 조정,17:41,18:16,M14A/B 수량 단계적 원복 (10→50)
04/22,4ABLD131/6ABL6032 Error 대응,19:10,01:23(익일),AI Close/Open 및 야간 조치
04/23,6ABL6011 Error 대응,15:36,16:42,AI Close/Error Clear/Open 반복
04/24,4ABLD111 Error 대응 (새벽),03:27,03:40,AI Close/Open
04/24,6ABL6011 Error 대응 및 Maxcapa 조정,05:14,06:41,Error 조치 및 Maxcapa 1 변경/원복
