episode_id,start_time,end_time,duration_min,equipment,line,fault_type,severity,status,is_orphan,message_count,message_ids
1,2026-01-01 01:24:33,2026-01-01 01:40:41,16.1,,M16A,CAPA변경,MED,closed,N,3,1|2|4
2,2026-01-01 01:41:20,2026-01-01 01:41:20,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,3
3,2026-01-01 02:59:00,2026-01-01 03:13:22,14.4,6ABL6032,,리프터,LOW,closed,N,2,6|5
4,2026-01-01 03:16:01,2026-01-01 03:16:01,0.0,6ABL6032,,,LOW,orphan,Y,1,7
5,2026-01-02 17:09:15,2026-01-02 17:09:15,0.0,,M16A,CAPA변경,LOW,open,N,1,12
6,2026-01-02 18:14:08,2026-01-02 18:14:08,0.0,,,,LOW,orphan,Y,1,14
7,2026-01-02 18:33:03,2026-01-02 18:33:03,0.0,,,,LOW,orphan,Y,1,15
8,2026-01-03 09:35:12,2026-01-03 09:35:12,0.0,,,리프터,LOW,open,N,1,18
9,2026-01-03 10:43:06,2026-01-03 10:43:06,0.0,,,리프터,LOW,open,N,1,19
10,2026-01-03 16:13:59,2026-01-03 16:13:59,0.0,,M16A,CAPA변경,LOW,open,N,1,20
11,2026-01-03 16:45:46,2026-01-03 16:45:46,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,22
12,2026-01-03 16:47:31,2026-01-03 16:47:31,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,23
13,2026-01-04 01:58:42,2026-01-04 01:59:11,0.5,,M16A,CAPA변경,LOW,open,N,2,24|25
14,2026-01-04 02:23:33,2026-01-04 02:25:13,1.7,,M14A,CAPA변경,LOW,open,N,2,27|26
15,2026-01-04 02:54:17,2026-01-04 02:54:17,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,29
16,2026-01-04 02:54:35,2026-01-04 02:54:35,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,30
17,2026-01-04 03:02:47,2026-01-04 03:02:47,0.0,,M14B,CAPA변경,LOW,open,N,1,31
18,2026-01-04 04:17:22,2026-01-04 05:00:31,43.1,,M14B,CAPA변경,MED,closed,N,5,36|38|40|41|45
19,2026-01-04 04:18:26,2026-01-04 04:18:26,0.0,,M16A,CAPA변경,LOW,open,N,1,37
20,2026-01-04 04:19:18,2026-01-04 05:02:31,43.2,,M14B,CAPA변경,MED,closed,N,3,39|42|47
21,2026-01-04 04:53:02,2026-01-04 04:53:02,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,43
22,2026-01-04 04:53:20,2026-01-04 04:53:20,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,44
23,2026-01-04 05:03:56,2026-01-04 05:03:56,0.0,,M14A,CAPA변경,LOW,orphan,Y,1,46
24,2026-01-04 16:13:35,2026-01-04 16:35:44,22.1,,M16A,CAPA변경,MED,closed,N,2,48|50
25,2026-01-04 16:36:26,2026-01-04 16:36:26,0.0,,,,LOW,orphan,Y,1,51
26,2026-01-05 01:55:12,2026-01-05 02:17:25,22.2,6ABL0121,M16A,리프터,MED,closed,N,2,52|53
27,2026-01-05 04:21:05,2026-01-05 04:50:51,29.8,4AFC3301,,CNV,MED,open,N,3,54|56|57
28,2026-01-05 06:14:53,2026-01-05 06:14:53,0.0,4AFC3301,,정체/병목,LOW,open,N,1,58
29,2026-01-05 09:00:38,2026-01-05 09:00:38,0.0,4AFC3301,,CNV,LOW,open,N,1,59
30,2026-01-05 09:53:25,2026-01-05 09:53:25,0.0,,,리프터,LOW,open,N,1,60
31,2026-01-05 10:15:50,2026-01-05 10:15:50,0.0,4AFC3301,,정체/병목,LOW,open,N,1,61
32,2026-01-05 11:03:20,2026-01-05 11:03:20,0.0,,,,LOW,orphan,Y,1,62
33,2026-01-05 11:16:33,2026-01-05 11:16:33,0.0,4AFC3301,,CNV,LOW,open,N,1,63
34,2026-01-05 15:15:36,2026-01-05 15:15:36,0.0,,Bridge,정체/병목,LOW,open,N,1,65
