episode_id,start_time,end_time,duration_min,equipment,line,fault_type,severity,status,is_orphan,message_count,message_ids
1,2026-06-01 15:27:29,2026-06-01 15:27:29,0.0,ZT 6-1호기,M16A,브릿지,LOW,open,N,1,1
2,2026-06-01 15:54:29,2026-06-01 15:54:29,0.0,,,기타,LOW,open,N,1,2
3,2026-06-01 20:57:49,2026-06-01 20:57:49,0.0,,,리프터,LOW,open,N,1,3
4,2026-06-01 21:42:39,2026-06-01 21:42:39,0.0,,,,LOW,orphan,Y,1,4
5,2026-06-02 13:47:18,2026-06-02 13:47:18,0.0,,,기타,LOW,open,N,1,6
6,2026-06-02 13:47:21,2026-06-02 13:47:21,0.0,OHT,,기타,LOW,open,N,1,7
7,2026-06-03 02:18:56,2026-06-03 02:18:56,0.0,,M16,기타,LOW,open,N,1,13
8,2026-06-03 02:26:07,2026-06-03 02:26:07,0.0,,,기타,LOW,open,N,1,14
9,2026-06-03 16:12:56,2026-06-03 16:12:56,0.0,4AFC3301,,CNV,LOW,open,N,1,15
10,2026-06-05 10:36:29,2026-06-05 10:36:29,0.0,,,CAPA변경,LOW,open,N,1,18
11,2026-06-05 10:39:26,2026-06-05 10:39:26,0.0,,,CAPA변경,LOW,open,N,1,19
12,2026-06-05 10:42:50,2026-06-05 10:42:50,0.0,,M14A,CAPA변경,LOW,open,N,1,22
13,2026-06-05 11:12:38,2026-06-05 11:12:38,0.0,,,CAPA변경,LOW,open,N,1,23
14,2026-06-05 11:16:40,2026-06-05 11:16:40,0.0,,M14A,CAPA변경,LOW,open,N,1,24
15,2026-06-05 11:46:13,2026-06-05 11:46:13,0.0,,M14A,,LOW,orphan,Y,1,26
16,2026-06-05 11:52:10,2026-06-05 11:52:10,0.0,,M14A,,LOW,orphan,Y,1,27
17,2026-06-05 15:25:54,2026-06-05 15:25:54,0.0,,,기타,LOW,open,N,1,34
18,2026-06-05 16:38:32,2026-06-05 16:38:32,0.0,,M16B,리프터,LOW,open,N,1,35
19,2026-06-05 16:39:40,2026-06-05 16:39:40,0.0,,,기타,LOW,open,N,1,36
20,2026-06-07 11:16:42,2026-06-07 11:16:42,0.0,4AFC3201,M16,CNV,LOW,open,N,1,40
21,2026-06-08 13:39:10,2026-06-08 13:39:10,0.0,ZT2-1호기,,,LOW,orphan,Y,1,43
22,2026-06-08 16:00:42,2026-06-08 16:06:02,5.3,4ABLD121,,리프터,LOW,closed,N,2,45|46
23,2026-06-08 16:16:46,2026-06-08 16:16:46,0.0,ZT2-1호기,,,LOW,orphan,Y,1,47
24,2026-06-08 21:58:58,2026-06-08 21:58:58,0.0,6ABL6021,M16A,브릿지,LOW,open,N,1,49
25,2026-06-09 10:34:18,2026-06-09 10:34:18,0.0,ZT2-1호기,M16A,브릿지,LOW,open,N,1,50
26,2026-06-09 22:20:47,2026-06-09 22:20:47,0.0,,,리프터,LOW,open,N,1,53
27,2026-06-09 22:47:33,2026-06-09 22:47:33,0.0,,,,LOW,orphan,Y,1,54
28,2026-06-11 10:18:06,2026-06-11 10:25:25,7.3,4AFC3301,M16,정체/병목,LOW,closed,N,2,55|56
29,2026-06-12 15:13:20,2026-06-12 15:39:50,26.5,4AFC3301,M16,CNV,MED,open,N,2,60|61
30,2026-06-12 22:36:33,2026-06-12 22:36:33,0.0,6ABL6012,M16A,,LOW,open,N,1,63
31,2026-06-13 01:33:25,2026-06-13 01:33:25,0.0,6ABL6012,,리프터,LOW,open,N,1,62
32,2026-06-14 00:01:47,2026-06-14 00:01:47,0.0,ZT 1-2호기,M16A,,LOW,orphan,Y,1,69
33,2026-06-14 10:00:22,2026-06-14 10:00:22,0.0,6ABL0112,M16A,브릿지,LOW,open,N,1,70
