episode_id,start_time,end_time,duration_min,equipment,line,fault_type,severity,status,is_orphan,message_count,message_ids
1,2026-05-06 11:49:11,2026-05-06 12:05:10,16.0,4ABLD131,,리프터,MED,closed,N,2,1|2
2,2026-05-07 07:31:26,2026-05-07 07:36:03,4.6,132호기,,,LOW,closed,N,2,4|5
3,2026-05-07 07:40:21,2026-05-07 07:40:21,0.0,4ABLD122,Hubroom,,LOW,open,N,1,6
4,2026-05-07 14:48:31,2026-05-07 14:48:31,0.0,ZT4,M16A,브릿지,LOW,open,N,1,22
5,2026-05-08 11:40:27,2026-05-08 11:40:27,0.0,6ABL0122,M16,정체/병목,LOW,open,N,1,29
6,2026-05-08 11:40:27,2026-05-08 11:40:27,0.0,6ABL0121,M16,정체/병목,LOW,open,N,1,29
7,2026-05-08 12:41:26,2026-05-08 12:41:26,0.0,OHT,M16,정체/병목,LOW,open,N,1,39
8,2026-05-08 16:16:18,2026-05-08 16:16:18,0.0,4AFC3201,M14A,CNV,LOW,open,N,1,74
9,2026-05-10 22:34:19,2026-05-10 22:38:23,4.1,4AFC3301,,CNV,LOW,open,N,2,96|97
10,2026-05-11 10:03:13,2026-05-11 10:03:13,0.0,4ABLD111,,리프터,LOW,open,N,1,110
11,2026-05-11 16:33:08,2026-05-11 16:33:08,0.0,4AFC3301,,,LOW,orphan,Y,1,117
12,2026-05-11 23:11:03,2026-05-11 23:11:03,0.0,6PDMP863,M14,정체/병목,LOW,open,N,1,120
13,2026-05-12 23:56:27,2026-05-12 23:56:27,0.0,112호기,,,LOW,orphan,Y,1,142
14,2026-05-13 05:53:10,2026-05-13 05:53:10,0.0,OHT,,,LOW,orphan,Y,1,151
15,2026-05-13 05:58:30,2026-05-13 05:58:30,0.0,OHT,,,LOW,orphan,Y,1,154
16,2026-05-13 07:09:58,2026-05-13 07:09:58,0.0,6FIO103,,정체/병목,LOW,open,N,1,163
17,2026-05-14 11:57:15,2026-05-14 12:21:57,24.7,4ABLD131,,리프터,MED,closed,N,2,194|195
18,2026-05-15 14:33:42,2026-05-15 14:33:42,0.0,ZT#4,,브릿지,LOW,open,N,1,201
19,2026-05-16 03:49:58,2026-05-16 04:09:30,19.5,4ABLD121,,리프터,MED,closed,N,2,202|203
20,2026-05-16 07:45:25,2026-05-16 08:00:06,14.7,4ABLD121,,리프터,LOW,closed,N,2,204|205
21,2026-05-21 18:48:41,2026-05-21 18:48:41,0.0,ZT5,,,LOW,orphan,Y,1,353
22,2026-05-24 12:18:54,2026-05-24 12:18:54,0.0,6ABL0111,M16A,리프터,LOW,open,N,1,376
23,2026-05-25 16:14:23,2026-05-25 16:14:23,0.0,6AFS6201,,기타,LOW,open,N,1,378
24,2026-05-26 17:03:23,2026-05-26 17:03:23,0.0,ZT5,M16A,브릿지,LOW,open,N,1,451
25,2026-05-27 13:31:07,2026-05-27 13:31:07,0.0,6ABL0121,,,LOW,orphan,Y,1,458
26,2026-05-29 08:16:42,2026-05-29 08:16:42,0.0,6ABL6032,M16A,브릿지,LOW,open,N,1,471
27,2026-05-29 08:46:56,2026-05-29 08:46:56,0.0,6ABL6032,,,LOW,orphan,Y,1,473
28,2026-05-29 10:06:10,2026-05-29 10:06:10,0.0,6ABL6032,,,LOW,orphan,Y,1,475
29,2026-05-29 10:18:56,2026-05-29 10:18:56,0.0,6ABL6032,,,LOW,orphan,Y,1,476
