Lifter,Port,Direction,Floor,Station_No,Address,X,Y
6ABL0111,6ABL0111_AI313,IN,3F,1001,2357,9591.7,1913.1
6ABL0111,6ABL0111_AI321,IN,3F,1023,1344,9472.7,1967.1
6ABL0111,6ABL0111_AI323,IN,3F,1005,1323,9635.0,1877.1
6ABL0111,6ABL0111_AO311,OUT,3F,1015,2374,9494.3,1976.7
6ABL0111,6ABL0111_AO312,OUT,3F,1016,2374,9494.3,1976.7
6ABL0111,6ABL0111_AO322,OUT,3F,1024,1344,9472.7,1967.1
6ABL0112,6ABL0112_AI313,IN,3F,1002,2358,9591.7,1948.8
6ABL0112,6ABL0112_AI321,IN,3F,1022,1343,9472.7,2027.1
6ABL0112,6ABL0112_AI323,IN,3F,1006,1324,9635.0,1934.0
6ABL0112,6ABL0112_AO311,OUT,3F,1014,2374,9494.3,1976.7
6ABL0112,6ABL0112_AO312,OUT,3F,1013,2373,9494.3,2043.4
6ABL0112,6ABL0112_AO322,OUT,3F,1021,1343,9472.7,2027.1
6ABL0121,6ABL0121_AI313,IN,3F,1003,2834,9613.3,2067.2
6ABL0121,6ABL0121_AI321,IN,3F,1019,2847,9429.3,2104.4
6ABL0121,6ABL0121_AI323,IN,3F,1007,2926,9656.7,2067.2
6ABL0121,6ABL0121_AO311,OUT,3F,1011,2372,9494.3,2110.1
6ABL0121,6ABL0121_AO312,OUT,3F,1012,2372,9494.3,2110.1
6ABL0121,6ABL0121_AO322,OUT,3F,1020,2847,9429.3,2104.4
6ABL0122,6ABL0122_AI313,IN,3F,1004,2835,9613.3,2113.9
6ABL0122,6ABL0122_AI321,IN,3F,1018,2846,9429.3,2171.1
6ABL0122,6ABL0122_AI323,IN,3F,1008,2927,9656.7,2113.9
6ABL0122,6ABL0122_AO311,OUT,3F,1010,2371,9494.3,2176.7
6ABL0122,6ABL0122_AO312,OUT,3F,1009,2371,9494.3,2176.7
6ABL0122,6ABL0122_AO322,OUT,3F,1017,2846,9429.3,2171.1
6ABL6011,6ABL6011_AI311,IN,3F,1035,2793,9472.7,262.5
6ABL6011,6ABL6011_AI312,IN,3F,1036,2794,9472.7,222.5
6ABL6011,6ABL6011_AI322,IN,3F,1048,1794,9407.7,251.6
6ABL6011,6ABL6011_AO313,OUT,3F,1049,2799,9613.3,189.1
6ABL6011,6ABL6011_AO321,OUT,3F,1047,1794,9407.7,251.6
6ABL6011,6ABL6011_AO323,OUT,3F,1055,1804,9678.3,201.4
6ABL6012,6ABL6012_AI311,IN,3F,1034,2793,9472.7,262.5
6ABL6012,6ABL6012_AI312,IN,3F,1033,2792,9472.7,309.2
6ABL6012,6ABL6012_AI322,IN,3F,1045,1793,9407.7,298.3
6ABL6012,6ABL6012_AO313,OUT,3F,1050,2800,9613.3,235.8
6ABL6012,6ABL6012_AO321,OUT,3F,1046,1793,9407.7,298.3
6ABL6012,6ABL6012_AO323,OUT,3F,8035,1805,9678.3,238.0
6ABL6021,6ABL6021_AI311,IN,3F,1031,2315,9494.3,446.6
6ABL6021,6ABL6021_AI312,IN,3F,1032,2316,9494.3,389.9
6ABL6021,6ABL6021_AI322,IN,3F,1044,2874,9429.3,404.9
6ABL6021,6ABL6021_AO313,OUT,3F,1051,2325,9591.7,374.3
6ABL6021,6ABL6021_AO321,OUT,3F,1043,2874,9429.3,404.9
6ABL6021,6ABL6021_AO323,OUT,3F,1056,2890,9656.7,376.8
6ABL6022,6ABL6022_AI311,IN,3F,1030,2315,9494.3,446.6
6ABL6022,6ABL6022_AI312,IN,3F,1029,2314,9494.3,493.2
6ABL6022,6ABL6022_AI322,IN,3F,1041,2872,9429.3,475.9
6ABL6022,6ABL6022_AO313,OUT,3F,1052,2326,9591.7,440.9
6ABL6022,6ABL6022_AO321,OUT,3F,1042,2873,9429.3,440.2
6ABL6022,6ABL6022_AO323,OUT,3F,1057,2892,9656.7,432.5
6ABL6031,6ABL6031_AI311,IN,3F,1027,2312,9494.3,608.9
6ABL6031,6ABL6031_AI312,IN,3F,1028,2312,9494.3,608.9
6ABL6031,6ABL6031_AI322,IN,3F,1040,1272,9451.0,590.5
6ABL6031,6ABL6031_AO313,OUT,3F,1053,2327,9591.7,507.6
6ABL6031,6ABL6031_AO321,OUT,3F,1039,1272,9451.0,590.5
6ABL6031,6ABL6031_AO323,OUT,3F,1058,1293,9635.0,490.1
6ABL6032,6ABL6032_AI311,IN,3F,1026,2312,9494.3,608.9
6ABL6032,6ABL6032_AI312,IN,3F,1025,2311,9494.3,644.6
6ABL6032,6ABL6032_AI322,IN,3F,1037,1271,9451.0,647.3
6ABL6032,6ABL6032_AO313,OUT,3F,1054,2328,9591.7,574.3
6ABL6032,6ABL6032_AO321,OUT,3F,1038,1271,9451.0,647.3
6ABL6032,6ABL6032_AO323,OUT,3F,1059,1295,9635.0,590.0
