"_id","_table","_time","ALARM","ALARM_CMT","ALARM_DESC","ALARM_MSG_CTN","IDC_NM","MACHINENAME","MESSAGE_TIME","MESSAGE_TYP","TIME"
"3120","oht_time_avg","2026-04-15 08:30:07.417+0900","N","","","","MIN","4ACM4701","0.0","COMPLETED","2026-04-15 08:30"
"3119","oht_time_avg","2026-04-15 08:30:07.417+0900","N","","","","MIN","4ACM4701","7.34","DESPOSITED","2026-04-15 08:30"
"3118","oht_time_avg","2026-04-15 08:30:07.417+0900","N","","","","MIN","4ACM4701","136.87","TRANSFERRING","2026-04-15 08:30"
"3117","oht_time_avg","2026-04-15 08:30:07.417+0900","N","","","","MIN","4ACM4701","34.22","ACQUIRED","2026-04-15 08:30"
"3116","oht_time_avg","2026-04-15 08:30:07.417+0900","N","","","","MIN","4ACM4701","13.16","ASSIGN","2026-04-15 08:30"
"3115","oht_time_avg","2026-04-15 08:30:07.417+0900","N","","","","MIN","4ACM4701","0.16","REP","2026-04-15 08:30"
"3126","oht_time_avg","2026-04-15 08:31:07.023+0900","N","","","","MIN","4ACM4701","0.0","COMPLETED","2026-04-15 08:31"
"3125","oht_time_avg","2026-04-15 08:31:07.023+0900","N","","","","MIN","4ACM4701","7.15","DESPOSITED","2026-04-15 08:31"
"3124","oht_time_avg","2026-04-15 08:31:07.023+0900","N","","","","MIN","4ACM4701","133.74","TRANSFERRING","2026-04-15 08:31"
"3123","oht_time_avg","2026-04-15 08:31:07.023+0900","N","","","","MIN","4ACM4701","34.21","ACQUIRED","2026-04-15 08:31"
"3122","oht_time_avg","2026-04-15 08:31:07.023+0900","N","","","","MIN","4ACM4701","15.43","ASSIGN","2026-04-15 08:31"
"3121","oht_time_avg","2026-04-15 08:31:07.023+0900","N","","","","MIN","4ACM4701","0.15","REP","2026-04-15 08:31"
"3132","oht_time_avg","2026-04-15 08:32:06.685+0900","N","","","","MIN","4ACM4701","0.0","COMPLETED","2026-04-15 08:32"
"3131","oht_time_avg","2026-04-15 08:32:06.685+0900","N","","","","MIN","4ACM4701","7.23","DESPOSITED","2026-04-15 08:32"
"3130","oht_time_avg","2026-04-15 08:32:06.685+0900","N","","","","MIN","4ACM4701","143.05","TRANSFERRING","2026-04-15 08:32"
"3129","oht_time_avg","2026-04-15 08:32:06.685+0900","N","","","","MIN","4ACM4701","37.15","ACQUIRED","2026-04-15 08:32"
"3128","oht_time_avg","2026-04-15 08:32:06.685+0900","N","","","","MIN","4ACM4701","17.68","ASSIGN","2026-04-15 08:32"
"3127","oht_time_avg","2026-04-15 08:32:06.685+0900","N","","","","MIN","4ACM4701","0.15","REP","2026-04-15 08:32"
"3138","oht_time_avg","2026-04-15 08:33:06.912+0900","N","","","","MIN","4ACM4701","0.0","COMPLETED","2026-04-15 08:33"
"3137","oht_time_avg","2026-04-15 08:33:06.912+0900","N","","","","MIN","4ACM4701","7.03","DESPOSITED","2026-04-15 08:33"
"3136","oht_time_avg","2026-04-15 08:33:06.912+0900","N","","","","MIN","4ACM4701","137.7","TRANSFERRING","2026-04-15 08:33"
"3135","oht_time_avg","2026-04-15 08:33:06.912+0900","N","","","","MIN","4ACM4701","32.82","ACQUIRED","2026-04-15 08:33"
"3134","oht_time_avg","2026-04-15 08:33:06.912+0900","N","","","","MIN","4ACM4701","17.0","ASSIGN","2026-04-15 08:33"
"3133","oht_time_avg","2026-04-15 08:33:06.912+0900","N","","","","MIN","4ACM4701","0.16","REP","2026-04-15 08:33"
"3144","oht_time_avg","2026-04-15 08:34:06.501+0900","N","","","","MIN","4ACM4701","2.79","COMPLETED","2026-04-15 08:34"
"3143","oht_time_avg","2026-04-15 08:34:06.501+0900","N","","","","MIN","4ACM4701","7.25","DESPOSITED","2026-04-15 08:34"
"3142","oht_time_avg","2026-04-15 08:34:06.501+0900","N","","","","MIN","4ACM4701","134.28","TRANSFERRING","2026-04-15 08:34"
"3141","oht_time_avg","2026-04-15 08:34:06.501+0900","N","","","","MIN","4ACM4701","33.0","ACQUIRED","2026-04-15 08:34"
"3140","oht_time_avg","2026-04-15 08:34:06.501+0900","N","","","","MIN","4ACM4701","13.88","ASSIGN","2026-04-15 08:34"
"3139","oht_time_avg","2026-04-15 08:34:06.501+0900","N","","","","MIN","4ACM4701","0.14","REP","2026-04-15 08:34"
"3150","oht_time_avg","2026-04-15 08:35:08.148+0900","N","","","","MIN","4ACM4701","0.0","COMPLETED","2026-04-15 08:35"
"3149","oht_time_avg","2026-04-15 08:35:08.148+0900","N","","","","MIN","4ACM4701","7.36","DESPOSITED","2026-04-15 08:35"
"3148","oht_time_avg","2026-04-15 08:35:08.148+0900","N","","","","MIN","4ACM4701","136.73","TRANSFERRING","2026-04-15 08:35"
"3147","oht_time_avg","2026-04-15 08:35:08.148+0900","N","","","","MIN","4ACM4701","32.21","ACQUIRED","2026-04-15 08:35"
"3146","oht_time_avg","2026-04-15 08:35:08.148+0900","N","","","","MIN","4ACM4701","15.32","ASSIGN","2026-04-15 08:35"
"3145","oht_time_avg","2026-04-15 08:35:08.148+0900","N","","","","MIN","4ACM4701","0.17","REP","2026-04-15 08:35"
"3156","oht_time_avg","2026-04-15 08:36:06.997+0900","N","","","","MIN","4ACM4701","0.0","COMPLETED","2026-04-15 08:36"
"3155","oht_time_avg","2026-04-15 08:36:06.997+0900","N","","","","MIN","4ACM4701","7.26","DESPOSITED","2026-04-15 08:36"
"3154","oht_time_avg","2026-04-15 08:36:06.997+0900","N","","","","MIN","4ACM4701","134.32","TRANSFERRING","2026-04-15 08:36"
"3153","oht_time_avg","2026-04-15 08:36:06.997+0900","N","","","","MIN","4ACM4701","33.84","ACQUIRED","2026-04-15 08:36"
"3152","oht_time_avg","2026-04-15 08:36:06.997+0900","N","","","","MIN","4ACM4701","16.62","ASSIGN","2026-04-15 08:36"
"3151","oht_time_avg","2026-04-15 08:36:06.997+0900","N","","","","MIN","4ACM4701","0.13","REP","2026-04-15 08:36"
"3162","oht_time_avg","2026-04-15 08:37:07.020+0900","N","","","","MIN","4ACM4701","7.03","COMPLETED","2026-04-15 08:37"
"3161","oht_time_avg","2026-04-15 08:37:07.020+0900","N","","","","MIN","4ACM4701","7.1","DESPOSITED","2026-04-15 08:37"
"3160","oht_time_avg","2026-04-15 08:37:07.020+0900","N","","","","MIN","4ACM4701","135.37","TRANSFERRING","2026-04-15 08:37"
"3159","oht_time_avg","2026-04-15 08:37:07.020+0900","N","","","","MIN","4ACM4701","33.72","ACQUIRED","2026-04-15 08:37"
"3158","oht_time_avg","2026-04-15 08:37:07.020+0900","N","","","","MIN","4ACM4701","14.47","ASSIGN","2026-04-15 08:37"
"3157","oht_time_avg","2026-04-15 08:37:07.020+0900","N","","","","MIN","4ACM4701","0.17","REP","2026-04-15 08:37"
"3168","oht_time_avg","2026-04-15 08:38:06.713+0900","N","","","","MIN","4ACM4701","0.0","COMPLETED","2026-04-15 08:38"
"3167","oht_time_avg","2026-04-15 08:38:06.713+0900","N","","","","MIN","4ACM4701","7.16","DESPOSITED","2026-04-15 08:38"
"3166","oht_time_avg","2026-04-15 08:38:06.713+0900","N","","","","MIN","4ACM4701","132.32","TRANSFERRING","2026-04-15 08:38"
"3165","oht_time_avg","2026-04-15 08:38:06.713+0900","N","","","","MIN","4ACM4701","32.79","ACQUIRED","2026-04-15 08:38"
"3164","oht_time_avg","2026-04-15 08:38:06.713+0900","N","","","","MIN","4ACM4701","12.74","ASSIGN","2026-04-15 08:38"
"3163","oht_time_avg","2026-04-15 08:38:06.713+0900","N","","","","MIN","4ACM4701","0.15","REP","2026-04-15 08:38"
"3174","oht_time_avg","2026-04-15 08:39:06.439+0900","N","","","","MIN","4ACM4701","0.0","COMPLETED","2026-04-15 08:39"
"3173","oht_time_avg","2026-04-15 08:39:06.439+0900","N","","","","MIN","4ACM4701","7.26","DESPOSITED","2026-04-15 08:39"
"3172","oht_time_avg","2026-04-15 08:39:06.439+0900","N","","","","MIN","4ACM4701","131.4","TRANSFERRING","2026-04-15 08:39"
"3171","oht_time_avg","2026-04-15 08:39:06.439+0900","N","","","","MIN","4ACM4701","31.58","ACQUIRED","2026-04-15 08:39"
"3170","oht_time_avg","2026-04-15 08:39:06.439+0900","N","","","","MIN","4ACM4701","14.04","ASSIGN","2026-04-15 08:39"
"3169","oht_time_avg","2026-04-15 08:39:06.439+0900","N","","","","MIN","4ACM4701","0.17","REP","2026-04-15 08:39"
