Zone_ID,HID_No,Bay_Zone,Sub_Region,Full_Name,Territory,Type,IN_Count,OUT_Count,IN_Lanes,OUT_Lanes,Vehicle_Max,Vehicle_Precaution,Project,ZCU,HID_Type,HID_ID,Zone_ID2,Addr_No,Station_No
1,HID-OHT-001,B01,1,HID-B01-1(001),1,HID,2,1,2054→2055; 2054→2620,1587→1588,30,26,M16A Project,Z0062A,HID4,,,,
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,4,4,1540→1541; 1580→1052; 2585→1549; 2592→1559,1044→1573; 1069→1070; 1069→2107; 1567→1568,30,26,M16A Project,Z0058A,HID4,,,,
3,HID-OHT-003,B02,1,HID-B02-1(003),1,HID,3,4,1044→1573; 1567→1568; 2573→2574,1580→1052; 2096→2097; 2585→1549; 2592→1559,30,26,M16A Project,Z0049A,HID4,4ABLD122_AI47,3,1559,2054
3,HID-OHT-003,B02,1,HID-B02-1(003),1,HID,3,4,1044→1573; 1567→1568; 2573→2574,1580→1052; 2096→2097; 2585→1549; 2592→1559,30,26,M16A Project,Z0049A,HID4,4ABLD111_AI47,3,1568,2058
3,HID-OHT-003,B02,1,HID-B02-1(003),1,HID,3,4,1044→1573; 1567→1568; 2573→2574,1580→1052; 2096→2097; 2585→1549; 2592→1559,30,26,M16A Project,Z0049A,HID4,6EFZ1401-504,3,2585,5004
3,HID-OHT-003,B02,1,HID-B02-1(003),1,HID,3,4,1044→1573; 1567→1568; 2573→2574,1580→1052; 2096→2097; 2585→1549; 2592→1559,30,26,M16A Project,Z0049A,HID4,4ABLD132_AO41,3,2592,2042
4,HID-OHT-004,B03,2,HID-B03-2(004),1,HID,2,1,2018→2740; 2705→2706,2746→2028,30,26,M16A Project,Z0044A,HID4,,,,
5,HID-OHT-005,B04,1,HID-B04-1(005),1,HID,3,4,1503→2013; 2012→2013; 2746→2028,2018→2740; 2030→1519; 2054→2055; 2054→2620,30,26,M16A Project,Z0037A,HID4,,,,
6,HID-OHT-006,B05,2,HID-B05-2(006),1,HID,4,3,1497→1498; 2030→1519; 2536→1498; 2565→1528,1503→2013; 1521→2559; 1540→1541,30,26,M16A Project,Z0030A,HID4,,,,
7,HID-OHT-007,B05,1,HID-B05-1(007),1,HID,5,4,1069→2107; 1521→2559; 2096→2097; 2138→2531; 2530→2531,2109→2110; 2536→1498; 2565→1528; 2573→2574,30,26,M16A Project,Z0021A,HID4,,,,
8,HID-OHT-008,B06,2,HID-B06-2(008),1,HID,2,2,1096→2133; 2109→2110,2138→2531; 2144→2145,30,26,M16A Project,Z0020A,HID4,,,,
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,2,2,1069→1070; 1617→1091,1096→1097; 1096→2133,30,26,M16A Project,Z0021A,HID4,ST-001086,9,1070,1086
10,HID-OHT-010,B02,2,HID-B02-2(010),1,HID,1,2,1587→1588,1617→1091; 1642→1643,30,26,M16A Project,F0011A,HID4,,,,
11,HID-OHT-011,B02,1,HID-B02-1(011),1,HID,1,2,1916→2645,2705→1982; 2705→2706,30,26,M16A Project,Z0046A,HID4,,,,
12,HID-OHT-012,B02,2,HID-B02-2(012),1,HID,3,2,1447→1958; 1957→1958; 2705→1982,1987→1477; 2012→2013,30,26,M16A Project,Z0040A,HID4,,,,
13,HID-OHT-013,B02,1,HID-B02-1(013),1,HID,2,2,1447→1448; 1987→1477,1482→2519; 1497→1498,30,26,M16A Project,Z0040A,HID4,,,,
14,HID-OHT-014,B02,2,HID-B02-2(014),1,HID,3,3,1482→2519; 2194→2475; 2474→2475,2480→1442; 2524→2145; 2524→2525,30,26,M16A Project,Z0033A,HID4,,,,
15,HID-OHT-015,B02,1,HID-B02-1(015),1,HID,4,4,1152→2189; 2144→2145; 2524→2145; 2524→2525,2150→1112; 2194→2475; 2200→2201; 2530→2531,30,26,M16A Project,Z0023A,HID4,,,,
16,HID-OHT-016,B02,2,HID-B02-2(016),1,HID,2,2,1096→1097; 2150→1112,1117→1643; 1146→1147,30,26,M16A Project,Z0020A,HID4,,,,
17,HID-OHT-017,B02,1,HID-B02-1(017),1,HID,2,2,1117→1643; 1642→1643,1671→1147; 1671→1672,30,26,M16A Project,Z0016A,HID4,,,,
18,HID-OHT-018,B02,2,HID-B02-2(018),1,HID,2,3,1392→1904; 1903→1904,1916→2645; 1932→1421; 1957→1958,30,26,M16A Project,Z0014A,HID4,,,,
19,HID-OHT-019,B02,1,HID-B02-1(019),1,HID,3,3,1402→1403; 1932→1421; 2480→1442,1426→2463; 1447→1448; 1447→1958,30,26,M16A Project,Z0036A,HID4,,,,
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,3,3,1426→2463; 2200→2201; 2426→2427,2206→1168; 2206→2207; 2474→2475,30,26,M16A Project,Z0035A,HID4,,,,
21,HID-OHT-021,B03,1,HID-B03-1(021),1,HID,4,4,1203→2241; 1374→2412; 2206→2207; 2411→2412,2254→1216; 2254→2255; 2426→1388; 2426→2427,30,26,M16A Project,Z0012A,HID4,,,,
22,HID-OHT-022,B03,2,HID-B03-2(022),1,HID,4,4,1146→1147; 1671→1147; 1720→1199; 2206→1168,1152→2189; 1173→1697; 1203→1204; 1203→2241,30,26,M16A Project,Z0018A,HID4,,,,
23,HID-OHT-023,B03,1,HID-B03-1(023),1,HID,2,1,1173→1697; 1671→1672,1716→1717,30,26,M16A Project,Z0019A,HID4,ST-003190,23,1672,3190
24,HID-OHT-024,B03,2,HID-B03-2(024),1,HID,4,3,1342→1855; 1849→1850; 2752→1865; 2752→2753,1867→1356; 1883→1370; 1903→1904,30,26,M16A Project,Z0097A,HID4,,,,
25,HID-OHT-025,B03,1,HID-B03-1(025),1,HID,3,3,1362→1363; 1883→1370; 2426→1388,1374→2412; 1392→1904; 1402→1403,30,26,M16A Project,F0006A,HID4,,,,
26,HID-OHT-026,B03,2,HID-B03-2(026),1,HID,3,3,1203→1204; 2254→1216; 2273→1237,1220→1741; 1239→1759; 1248→1249,30,26,M16A Project,Z0012A,HID4,,,,
27,HID-OHT-027,B03,1,HID-B03-1(027),1,HID,3,2,1220→1741; 1239→1759; 1716→1717,1720→1199; 1766→1767,30,26,M16A Project,Z0007A,HID4,,,,
28,HID-OHT-028,B03,2,HID-B03-2(028),1,HID,3,4,1320→1321; 1867→1356; 2828→1321,1325→2926; 1342→1855; 1358→2394; 1362→1363,30,26,M16A Project,Z0090A,HID4,,,,
29,HID-OHT-029,B03,1,HID-B03-1(029),1,HID,4,2,1358→2394; 2350→2351; 2350→2761; 2828→2829,2396→2271; 2396→2397,30,26,M16A Project,Z0004A,HID4,,,,
30,HID-OHT-030,B04,2,HID-B04-2(030),1,HID,3,4,2254→2255; 2396→2271; 2396→2397,2273→1237; 2298→2299; 2298→2940; 2411→2412,30,26,M16A Project,Z0009A,HID4,,,,
