_id,_table,_time,EVENT_DT,FAB_ID,MCP_NM,downward_anomaly_cols,upward_anomaly_cols
2,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:02:00.866+0900,2026-07-28 8:01,M16A,BR,,
6,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:03:00.866+0900,2026-07-28 8:02,M16A,BR,,
10,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:04:00.866+0900,2026-07-28 8:03,M16A,BR,,
14,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:05:00.866+0900,2026-07-28 8:04,M16A,BR,,
18,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:06:00.866+0900,2026-07-28 8:05,M16A,BR,,
22,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:07:00.866+0900,2026-07-28 8:06,M16A,BR,HID_35_FROM_SUM_A,
26,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:08:00.866+0900,2026-07-28 8:07,M16A,BR,HID_35_FROM_SUM_A HID_30_FROM_SUM_A,
30,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:09:00.866+0900,2026-07-28 8:08,M16A,BR,HID_35_FROM_SUM_A HID_30_FROM_SUM_A HID_7_FROM_SUM_A,
34,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:10:00.866+0900,2026-07-28 8:09,M16A,BR,HID_35_FROM_SUM_A HID_30_FROM_SUM_A HID_7_FROM_SUM_A HID_3_FROM_SUM_A,
38,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:11:00.866+0900,2026-07-28 8:10,M16A,BR,HID_35_FROM_SUM_A HID_30_FROM_SUM_A HID_7_FROM_SUM_A HID_3_FROM_SUM_A HID_6_FROM_SUM_A HID_2_FROM_SUM_A,HID_34_FROM_SUM_A
42,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:12:00.866+0900,2026-07-28 8:11,M16A,BR,HID_35_FROM_SUM_A HID_30_FROM_SUM_A HID_7_FROM_SUM_A HID_3_FROM_SUM_A HID_6_FROM_SUM_A HID_2_FROM_SUM_A HID_29_FROM_SUM_A,HID_34_FROM_SUM_A
46,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:13:00.866+0900,2026-07-28 8:12,M16A,BR,HID_35_FROM_SUM_A HID_30_FROM_SUM_A HID_7_FROM_SUM_A HID_3_FROM_SUM_A HID_6_FROM_SUM_A,
50,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:14:00.866+0900,2026-07-28 8:13,M16A,BR,HID_35_FROM_SUM_A HID_30_FROM_SUM_A HID_7_FROM_SUM_A,
54,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:15:00.866+0900,2026-07-28 8:14,M16A,BR,HID_35_FROM_SUM_A,
58,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:16:00.866+0900,2026-07-28 8:15,M16A,BR,,
62,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:17:00.866+0900,2026-07-28 8:16,M16A,BR,,
66,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:18:00.866+0900,2026-07-28 8:17,M16A,BR,,
70,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:19:00.866+0900,2026-07-28 8:18,M16A,BR,,
74,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:20:00.866+0900,2026-07-28 8:19,M16A,BR,,
78,ATLAS_BOTTLENECK_ANOMALY,2026-07-28 08:21:00.866+0900,2026-07-28 8:20,M16A,BR,,
