_id,_table,_time,EVENT_DT,FAB_ID,MCP_NM,downward_anomaly_cols,upward_anomaly_cols
2,ATLAS_QUEUE_ANOMALY,2026-07-28 08:02:00.866+0900,2026-07-28 8:01,M16A,BR,,
6,ATLAS_QUEUE_ANOMALY,2026-07-28 08:03:00.866+0900,2026-07-28 8:02,M16A,BR,,
10,ATLAS_QUEUE_ANOMALY,2026-07-28 08:04:00.866+0900,2026-07-28 8:03,M16A,BR,,
14,ATLAS_QUEUE_ANOMALY,2026-07-28 08:05:00.866+0900,2026-07-28 8:04,M16A,BR,,
18,ATLAS_QUEUE_ANOMALY,2026-07-28 08:06:00.866+0900,2026-07-28 8:05,M16A,BR,,
22,ATLAS_QUEUE_ANOMALY,2026-07-28 08:07:00.866+0900,2026-07-28 8:06,M16A,BR,M16HUB.QUE.TIME.AVGTOTALTIME1MIN,
26,ATLAS_QUEUE_ANOMALY,2026-07-28 08:08:00.866+0900,2026-07-28 8:07,M16A,BR,M16HUB.QUE.TIME.AVGTOTALTIME1MIN,
30,ATLAS_QUEUE_ANOMALY,2026-07-28 08:09:00.866+0900,2026-07-28 8:08,M16A,BR,M16HUB.QUE.TIME.AVGTOTALTIME1MIN M16HUB.STRATE.ALL.FABSTORAGERATIO,
34,ATLAS_QUEUE_ANOMALY,2026-07-28 08:10:00.866+0900,2026-07-28 8:09,M16A,BR,M16HUB.QUE.TIME.AVGTOTALTIME1MIN M16HUB.STRATE.ALL.FABSTORAGERATIO,M16HUB.STRATE.STB.3F_STORAGE_UTIL
38,ATLAS_QUEUE_ANOMALY,2026-07-28 08:11:00.866+0900,2026-07-28 8:10,M16A,BR,M16HUB.QUE.TIME.AVGTOTALTIME1MIN M16HUB.STRATE.ALL.FABSTORAGERATIO M16HUB.QUE.LFT.3F_LFT_REVERSALCNT,M16HUB.STRATE.STB.3F_STORAGE_UTIL
42,ATLAS_QUEUE_ANOMALY,2026-07-28 08:12:00.866+0900,2026-07-28 8:11,M16A,BR,M16HUB.QUE.TIME.AVGTOTALTIME1MIN M16HUB.STRATE.ALL.FABSTORAGERATIO M16HUB.QUE.LFT.3F_LFT_REVERSALCNT,M16HUB.STRATE.STB.3F_STORAGE_UTIL
46,ATLAS_QUEUE_ANOMALY,2026-07-28 08:13:00.866+0900,2026-07-28 8:12,M16A,BR,M16HUB.QUE.TIME.AVGTOTALTIME1MIN M16HUB.STRATE.ALL.FABSTORAGERATIO M16HUB.QUE.LFT.3F_LFT_REVERSALCNT,M16HUB.STRATE.STB.3F_STORAGE_UTIL
50,ATLAS_QUEUE_ANOMALY,2026-07-28 08:14:00.866+0900,2026-07-28 8:13,M16A,BR,M16HUB.QUE.TIME.AVGTOTALTIME1MIN M16HUB.STRATE.ALL.FABSTORAGERATIO,
54,ATLAS_QUEUE_ANOMALY,2026-07-28 08:15:00.866+0900,2026-07-28 8:14,M16A,BR,M16HUB.QUE.TIME.AVGTOTALTIME1MIN,
58,ATLAS_QUEUE_ANOMALY,2026-07-28 08:16:00.866+0900,2026-07-28 8:15,M16A,BR,,
62,ATLAS_QUEUE_ANOMALY,2026-07-28 08:17:00.866+0900,2026-07-28 8:16,M16A,BR,,
66,ATLAS_QUEUE_ANOMALY,2026-07-28 08:18:00.866+0900,2026-07-28 8:17,M16A,BR,,
70,ATLAS_QUEUE_ANOMALY,2026-07-28 08:19:00.866+0900,2026-07-28 8:18,M16A,BR,,
74,ATLAS_QUEUE_ANOMALY,2026-07-28 08:20:00.866+0900,2026-07-28 8:19,M16A,BR,,
78,ATLAS_QUEUE_ANOMALY,2026-07-28 08:21:00.866+0900,2026-07-28 8:20,M16A,BR,,
