datetime,date,time,unified_risk_score,unified_risk_level,hot_area,propagation_chain,flow_signals,maxcapa_signals,affected_areas,stage,reason
2026-07-09 10:24:00,2026-07-09,10:24,41,정상,M16HUB,,M16A_2F_TO_HUB=1.4x,,M16HUB,,
2026-07-09 10:25:00,2026-07-09,10:25,58,경계,M16HUB,M16HUB->M16A,M16A_2F_TO_HUB=2.1x,,M16HUB;M16A,rise,M16HUB 반송시간 상승
2026-07-09 10:26:00,2026-07-09,10:26,73,위험,M16HUB,M16HUB->M16A->M14,M16A_2F_TO_HUB=2.9x M16A_6F_TO_HUB=2.2x,3F_M14BLFT_MAXCAPA=8,M16HUB;M16A;M14,peak,Storage FULL + Queue 누적
2026-07-09 10:27:00,2026-07-09,10:27,82,위험,M16HUB,M16HUB->M16A->M14->M16B,M16A_2F_TO_HUB=3.3x M16A_6F_TO_HUB=2.8x,3F_M14BLFT_MAXCAPA=8 2F_LFT_MAXCAPA=6,M16HUB;M16A;M14;M16B,peak,Storage FULL 지속 + 반송지연
2026-07-09 10:28:00,2026-07-09,10:28,77,위험,M16HUB,M16HUB->M16A->M14,M16A_2F_TO_HUB=3.0x,3F_M14BLFT_MAXCAPA=8,M16HUB;M16A;M14,fall,반송지연 지속
2026-07-09 10:29:00,2026-07-09,10:29,64,경계,M16HUB,M16HUB->M16A,M16A_2F_TO_HUB=2.2x,,M16HUB;M16A,fall,Queue 해소 중
2026-07-09 10:30:00,2026-07-09,10:30,44,정상,M16HUB,,M16A_2F_TO_HUB=1.5x,,M16HUB,,
2026-07-09 15:39:00,2026-07-09,15:39,47,정상,M16HUB,,,,M16HUB,,
2026-07-09 15:40:00,2026-07-09,15:40,54,경계,M16HUB,M16HUB->M14,,,M16HUB;M14;M16A;M16B,peak,리프터 정체 + Queue 상승
2026-07-09 15:41:00,2026-07-09,15:41,38,정상,M16HUB,,,,M16HUB,,
