Lifter,FAB,근방HID_개수,근방HID_Zone번호
4ABLD111,M14,1,3
4ABLD112,M14,2,10631; 10711
4ABLD121,M14,2,10611; 10641
4ABLD122,M14,3,3; 10681; 10711
4ABLD131,M14,1,10641
4ABLD132,M14,3,3; 10681; 10721
4ABLH401,M14,1,10651
6ABL0111,M16,3,11041; 11082; 11091
6ABL0112,M16,4,11082; 11091; 11101; 11111
6ABL0121,M16,2,33; 11091
6ABL0122,M16,3,11091; 11101; 11121
6ABL6011,M16,1,10771
6ABL6012,M16,2,33; 10781
6ABL6021,M16,2,34; 10771
6ABL6022,M16,2,10771; 10811
6ABL6031,M16,2,10831; 10851
6ABL6032,M16,1,10831
