_time,VEHICLE,HID
2026-04-21 14:00:00.246+0900,BV0359,11121
2026-04-21 14:00:01.426+0900,BV0199,10721
2026-04-21 14:00:02.575+0900,BV0147,10811
2026-04-21 14:00:02.857+0900,BV0099,10781
2026-04-21 14:00:03.892+0900,BV0302,10721
2026-04-21 14:00:04.015+0900,BV0112,10631
2026-04-21 14:00:04.017+0900,BV0356,33
2026-04-21 14:00:04.369+0900,BV0303,34
2026-04-21 14:00:04.738+0900,BV0178,10611
2026-04-21 14:00:04.781+0900,BV0216,11121
2026-04-21 14:00:04.830+0900,BV0128,10851
2026-04-21 14:00:05.171+0900,BV0302,10721
2026-04-21 14:00:05.307+0900,BV0112,10631
2026-04-21 14:00:05.709+0900,BV0147,10811
2026-04-21 14:00:05.915+0900,BV0394,10831
2026-04-21 14:00:06.697+0900,BV0122,10711
2026-04-21 14:00:06.775+0900,BV0178,3
2026-04-21 14:00:06.775+0900,BV0178,10641
2026-04-21 14:00:07.230+0900,BV0147,10811
2026-04-21 14:00:07.231+0900,BV0356,10851
2026-04-21 14:00:07.615+0900,BV0312,34
2026-04-21 14:00:07.646+0900,BV0365,10681
2026-04-21 14:00:07.721+0900,BV0391,10611
2026-04-21 14:00:07.906+0900,BV0365,10681
2026-04-21 14:00:08.233+0900,BV0142,11041
2026-04-21 14:00:08.252+0900,BV0149,10631
2026-04-21 14:00:08.254+0900,BV0365,10681
2026-04-21 14:00:08.368+0900,BV0302,10721
2026-04-21 14:00:08.620+0900,BV0112,10611
2026-04-21 14:00:08.620+0900,BV0112,3
2026-04-21 14:00:08.717+0900,BV0147,10811
2026-04-21 14:00:08.745+0900,BV0301,10711
2026-04-21 14:00:08.937+0900,BV0057,10851
2026-04-21 14:00:09.016+0900,BV0199,10721
2026-04-21 14:00:09.489+0900,BV0312,34
2026-04-21 14:00:10.039+0900,BV0390,10781
2026-04-21 14:00:10.073+0900,BV0184,10711
2026-04-21 14:00:10.708+0900,BV0143,10641
2026-04-21 14:00:11.427+0900,BV0199,10721
2026-04-21 14:00:12.526+0900,BV0199,10721
2026-04-21 14:00:13.426+0900,BV0301,10631
2026-04-21 14:00:13.837+0900,BV0169,34
2026-04-21 14:00:14.978+0900,BV0380,10641
2026-04-21 14:00:15.539+0900,BV0169,34
2026-04-21 14:00:16.118+0900,BV0213,34
2026-04-21 14:00:16.464+0900,BV0199,10721
2026-04-21 14:00:16.566+0900,BV0328,33
